"",BBK01.OEYB09R,BBK01.OEYB09R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:20,
2002-01,0.602,
2002-04,0.533,
2002-07,0.553,
2002-10,0.567,
2003-01,0.976,
2003-04,0.911,
2003-07,0.859,
2003-10,0.886,
2004-01,0.858,
2004-04,0.848,
2004-07,0.760,
2004-10,0.757,
2005-01,0.672,
2005-04,0.684,
2005-07,0.662,
2005-10,0.606,
2006-01,0.649,
2006-04,0.664,
2006-07,0.643,
2006-10,0.609,
2007-01,0.562,
2007-04,0.244,
2007-07,0.240,
2007-10,0.210,
2008-01,0.166,
2008-04,0.172,
2008-07,0.168,
2008-10,0.164,
2009-01,0.163,
2009-04,0.164,
2009-07,0.165,
2009-10,0.158,
2010-01,0.160,
2010-04,0.147,
2010-07,0.162,
2010-10,0.155,
2011-01,0.156,
2011-04,0.158,
2011-07,0.166,
2011-10,0.160,
2012-01,0.162,
2012-04,0.164,
2012-07,0.249,
2012-10,0.285,
2013-01,0.283,
2013-04,0.277,
2013-07,0.273,
2013-10,0.264,
2014-01,0.245,
2014-04,0.242,
2014-07,0.239,
