"",BBK01.OELB03Q,BBK01.OELB03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:55,
2002-01,1.035,
2002-04,1.037,
2002-07,1.044,
2002-10,1.026,
2003-01,0.993,
2003-04,0.975,
2003-07,0.953,
2003-10,0.900,
2004-01,0.871,
2004-04,0.865,
2004-07,0.862,
2004-10,0.832,
2005-01,0.792,
2005-04,0.773,
2005-07,0.812,
2005-10,0.785,
2006-01,0.756,
2006-04,0.743,
2006-07,0.744,
2006-10,0.732,
2007-01,0.734,
2007-04,0.738,
2007-07,0.721,
2007-10,0.689,
2008-01,0.674,
2008-04,0.650,
2008-07,0.608,
2008-10,0.602,
2009-01,0.624,
2009-04,0.628,
2009-07,0.671,
2009-10,0.672,
2010-01,0.672,
2010-04,0.669,
2010-07,0.674,
2010-10,0.663,
2011-01,0.676,
2011-04,0.678,
2011-07,0.699,
2011-10,0.697,
2012-01,0.705,
2012-04,0.754,
2012-07,0.772,
2012-10,0.784,
2013-01,0.809,
2013-04,0.802,
2013-07,0.814,
2013-10,0.834,
2014-01,0.846,
2014-04,0.835,
2014-07,0.835,
