"",BBK01.OEXB02U,BBK01.OEXB02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:21,
2002-01,0.490,
2002-04,0.522,
2002-07,0.548,
2002-10,0.545,
2003-01,0.574,
2003-04,0.564,
2003-07,0.534,
2003-10,0.494,
2004-01,0.528,
2004-04,0.520,
2004-07,0.549,
2004-10,0.495,
2005-01,0.495,
2005-04,0.485,
2005-07,0.490,
2005-10,0.457,
2006-01,0.455,
2006-04,0.442,
2006-07,0.424,
2006-10,0.429,
2007-01,0.429,
2007-04,0.573,
2007-07,0.484,
2007-10,0.432,
2008-01,0.476,
2008-04,0.484,
2008-07,0.414,
2008-10,0.404,
2009-01,0.383,
2009-04,0.387,
2009-07,0.392,
2009-10,0.350,
2010-01,0.348,
2010-04,0.388,
2010-07,0.305,
2010-10,0.258,
2011-01,0.259,
2011-04,0.261,
2011-07,0.272,
2011-10,0.231,
2012-01,0.230,
2012-04,0.250,
2012-07,0.260,
2012-10,0.239,
2013-01,0.241,
2013-04,0.264,
2013-07,0.249,
2013-10,0.220,
2014-01,0.243,
2014-04,0.273,
2014-07,0.266,
