"",BBK01.OEAL10Q,BBK01.OEAL10Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:56,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,-,Nothing exists
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,-,Nothing exists
2004-01,-,Nothing exists
2004-04,-,Nothing exists
2004-07,-,Nothing exists
2004-10,-,Nothing exists
2005-01,0.144,
2005-04,0.144,
2005-07,0.174,
2005-10,0.162,
2006-01,0.165,
2006-04,0.186,
2006-07,0.186,
2006-10,0.209,
2007-01,0.213,
2007-04,0.218,
2007-07,0.225,
2007-10,0.233,
2008-01,-,Nothing exists
2008-04,-,Nothing exists
2008-07,-,Nothing exists
2008-10,-,Nothing exists
2009-01,-,Nothing exists
2009-04,-,Nothing exists
2009-07,0.018,
2009-10,0.029,
2010-01,0.027,
2010-04,0.024,
2010-07,0.022,
2010-10,0.016,
2011-01,0.019,
2011-04,0.023,
2011-07,0.016,
2011-10,0.024,
2012-01,0.015,
2012-04,0.020,
2012-07,0.024,
2012-10,0.011,
2013-01,0.017,
2013-04,0.010,
2013-07,0.023,
2013-10,0.008,
2014-01,0.018,
2014-04,0.016,
2014-07,0.017,
