"",BBSF2.M.1.P.00000.GEF01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.GEF01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Public funds / Mixed funds / Long-term debt securities,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:56,
2004-01,1142,
2004-02,1120,
2004-03,1143,
2004-04,1137,
2004-05,1160,
2004-06,1163,
2004-07,1168,
2004-08,1175,
2004-09,1175,
2004-10,1178,
2004-11,1178,
2004-12,1161,
2005-01,1175,
2005-02,1150,
2005-03,1132,
2005-04,1157,
2005-05,1173,
2005-06,1207,
2005-07,1252,
2005-08,1299,
2005-09,1367,
2005-10,1440,
2005-11,1784,
2005-12,1857,
2006-01,2031,
2006-02,2171,
2006-03,2240,
2006-04,2328,
2006-05,2400,
2006-06,2491,
2006-07,2518,
2006-08,2547,
2006-09,2575,
2006-10,2578,
2006-11,2578,
2006-12,2536,
2007-01,2621,
2007-02,2903,
2007-03,2856,
2007-04,2886,
2007-05,2912,
2007-06,2998,
2007-07,3081,
2007-08,3202,
2007-09,3241,
2007-10,3260,
2007-11,3331,
2007-12,3503,
2008-01,3548,
2008-02,3136,
2008-03,3036,
2008-04,2949,
2008-05,3029,
2008-06,2994,
2008-07,3075,
2008-08,3092,
2008-09,3031,
2008-10,3119,
2008-11,3276,
2008-12,3742,
2009-01,4027,
2009-02,4043,
2009-03,4043,
2009-04,4533,
2009-05,5136,
2009-06,5237,
2009-07,5291,
2009-08,5361,
2009-09,5792,
2009-10,5889,
2009-11,5914,
2009-12,6049,
2010-01,6591,
2010-02,6850,
2010-03,7201,
2010-04,7475,
2010-05,7693,
2010-06,7775,
2010-07,7899,
2010-08,8197,
2010-09,8166,
2010-10,8060,
2010-11,7990,
2010-12,8219,
2011-01,8053,
2011-02,8289,
2011-03,7998,
2011-04,8069,
2011-05,8090,
2011-06,7847,
2011-07,7794,
2011-08,7538,
2011-09,7298,
2011-10,7236,
2011-11,7161,
2011-12,7212,
2012-01,7234,
2012-02,7434,
2012-03,7577,
2012-04,7771,
2012-05,7961,
2012-06,7848,
2012-07,8053,
2012-08,8282,
2012-09,8436,
2012-10,8470,
2012-11,8758,
2012-12,8940,
2013-01,8726,
2013-02,8844,
2013-03,9118,
2013-04,9180,
2013-05,9180,
2013-06,8549,
2013-07,8805,
2013-08,8999,
2013-09,9106,
2013-10,9077,
2013-11,9087,
2013-12,8991,
2014-01,9239,
2014-02,9311,
2014-03,9580,
2014-04,9766,
2014-05,9964,
2014-06,10184,
2014-07,10380,
2014-08,7788,
2014-09,7991,
2014-10,8087,
2014-11,8211,
