"",BBK01.OEXB06I,BBK01.OEXB06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:10,
2002-01,8.737,
2002-04,7.299,
2002-07,7.314,
2002-10,6.950,
2003-01,6.500,
2003-04,6.631,
2003-07,6.190,
2003-10,4.847,
2004-01,5.593,
2004-04,4.914,
2004-07,4.888,
2004-10,4.403,
2005-01,4.323,
2005-04,4.225,
2005-07,4.372,
2005-10,3.954,
2006-01,3.965,
2006-04,4.171,
2006-07,2.057,
2006-10,2.745,
2007-01,2.518,
2007-04,2.489,
2007-07,2.333,
2007-10,2.204,
2008-01,2.357,
2008-04,2.604,
2008-07,2.895,
2008-10,2.894,
2009-01,2.896,
2009-04,3.028,
2009-07,3.003,
2009-10,3.057,
2010-01,3.048,
2010-04,3.196,
2010-07,3.015,
2010-10,2.878,
2011-01,2.548,
2011-04,2.531,
2011-07,2.504,
2011-10,2.602,
2012-01,2.614,
2012-04,2.648,
2012-07,2.549,
2012-10,2.544,
2013-01,3.266,
2013-04,3.327,
2013-07,3.107,
2013-10,3.452,
2014-01,3.372,
2014-04,3.237,
2014-07,3.258,
