"",BBK01.OEAI02V,BBK01.OEAI02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:15,
2002-01,16.075,
2002-04,16.832,
2002-07,17.150,
2002-10,18.153,
2003-01,17.357,
2003-04,17.596,
2003-07,17.690,
2003-10,18.994,
2004-01,18.945,
2004-04,19.410,
2004-07,20.025,
2004-10,19.639,
2005-01,19.742,
2005-04,20.371,
2005-07,22.315,
2005-10,21.545,
2006-01,20.960,
2006-04,21.102,
2006-07,21.244,
2006-10,22.111,
2007-01,21.793,
2007-04,22.139,
2007-07,22.367,
2007-10,23.051,
2008-01,23.105,
2008-04,22.616,
2008-07,23.811,
2008-10,24.860,
2009-01,28.334,
2009-04,29.799,
2009-07,31.159,
2009-10,31.016,
2010-01,31.362,
2010-04,31.640,
2010-07,32.303,
2010-10,32.944,
2011-01,32.129,
2011-04,32.149,
2011-07,32.570,
2011-10,33.799,
2012-01,33.980,
2012-04,34.102,
2012-07,33.722,
2012-10,34.886,
2013-01,34.669,
2013-04,36.081,
2013-07,36.631,
2013-10,37.355,
2014-01,37.727,
2014-04,38.714,
2014-07,39.604,
