"",BBK01.OEYL01V,BBK01.OEYL01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:59,
2002-01,0.005,
2002-04,0.006,
2002-07,0.005,
2002-10,0.006,
2003-01,0.014,
2003-04,0.011,
2003-07,0.087,
2003-10,0.016,
2004-01,0.035,
2004-04,0.020,
2004-07,0.019,
2004-10,0.020,
2005-01,0.027,
2005-04,0.024,
2005-07,0.107,
2005-10,0.108,
2006-01,0.122,
2006-04,0.146,
2006-07,0.148,
2006-10,0.155,
2007-01,0.144,
2007-04,0.144,
2007-07,0.143,
2007-10,0.143,
2008-01,0.170,
2008-04,0.129,
2008-07,0.126,
2008-10,0.153,
2009-01,0.160,
2009-04,0.151,
2009-07,0.162,
2009-10,0.268,
2010-01,0.183,
2010-04,0.251,
2010-07,0.293,
2010-10,0.286,
2011-01,0.222,
2011-04,0.234,
2011-07,0.240,
2011-10,0.208,
2012-01,0.209,
2012-04,0.211,
2012-07,0.238,
2012-10,0.215,
2013-01,0.291,
2013-04,0.305,
2013-07,0.235,
2013-10,0.222,
2014-01,0.193,
2014-04,0.203,
2014-07,0.191,
