"",BBK01.OEBO02V,BBK01.OEBO02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:13,
2002-01,0.644,
2002-04,0.550,
2002-07,0.478,
2002-10,0.504,
2003-01,0.550,
2003-04,0.417,
2003-07,0.524,
2003-10,0.433,
2004-01,0.491,
2004-04,0.432,
2004-07,0.484,
2004-10,0.506,
2005-01,1.224,
2005-04,0.595,
2005-07,0.533,
2005-10,0.554,
2006-01,0.721,
2006-04,0.651,
2006-07,0.619,
2006-10,0.726,
2007-01,1.150,
2007-04,0.736,
2007-07,0.729,
2007-10,0.861,
2008-01,0.940,
2008-04,0.824,
2008-07,0.716,
2008-10,1.253,
2009-01,0.864,
2009-04,0.726,
2009-07,0.759,
2009-10,0.713,
2010-01,0.773,
2010-04,0.497,
2010-07,0.447,
2010-10,0.698,
2011-01,0.781,
2011-04,0.536,
2011-07,0.525,
2011-10,0.504,
2012-01,0.829,
2012-04,0.461,
2012-07,0.581,
2012-10,0.497,
2013-01,0.592,
2013-04,0.415,
2013-07,0.358,
2013-10,0.389,
2014-01,0.364,
2014-04,0.314,
2014-07,0.505,
