"",BBFB1.Q.N.DE.A1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:24,
1991-01,-4760.751,
1991-04,-247.139,
1991-07,-471.141,
1991-10,-224.725,
1992-01,-670.707,
1992-04,-232.112,
1992-07,-257.909,
1992-10,-316.375,
1993-01,-538.910,
1993-04,-388.707,
1993-07,-340.238,
1993-10,-384.106,
1994-01,-236.801,
1994-04,-361.266,
1994-07,-333.547,
1994-10,-296.245,
1995-01,-316.930,
1995-04,-308.536,
1995-07,-421.019,
1995-10,-320.241,
1996-01,-340.516,
1996-04,-338.392,
1996-07,-349.856,
1996-10,-249.492,
1997-01,-438.216,
1997-04,-349.252,
1997-07,-503.927,
1997-10,-391.242,
1998-01,-382.918,
1998-04,-219.576,
1998-07,-492.775,
1998-10,-441.122,
1999-01,-248.734,
1999-04,-242.619,
1999-07,-287.604,
1999-10,-309.390,
2000-01,-731.722,
2000-04,-212.105,
2000-07,-315.482,
2000-10,-213.229,
2001-01,-545.268,
2001-04,-422.842,
2001-07,-395.226,
2001-10,-456.539,
2002-01,-610.418,
2002-04,-754.748,
2002-07,-280.945,
2002-10,-1103.107,
2003-01,-506.909,
2003-04,-114.347,
2003-07,-838.631,
2003-10,-544.848,
2004-01,-430.496,
2004-04,-481.190,
2004-07,-698.931,
2004-10,-643.504,
2005-01,-557.474,
2005-04,-558.676,
2005-07,-566.758,
2005-10,-933.207,
2006-01,-632.851,
2006-04,-111.089,
2006-07,-739.785,
2006-10,-521.104,
2007-01,-517.899,
2007-04,293.681,
2007-07,-837.687,
2007-10,-664.238,
2008-01,-851.775,
2008-04,-249.977,
2008-07,-1353.814,
2008-10,-1291.913,
2009-01,-514.754,
2009-04,-640.973,
2009-07,-818.360,
2009-10,-1115.246,
2010-01,-587.964,
2010-04,-7.383,
2010-07,-605.882,
2010-10,-845.441,
2011-01,-360.016,
2011-04,336.133,
2011-07,-408.694,
2011-10,-581.819,
2012-01,-584.062,
2012-04,439.427,
2012-07,-454.555,
2012-10,-887.088,
2013-01,-455.033,
2013-04,460.304,
2013-07,-391.423,
2013-10,-680.156,
2014-01,-198.587,Provisional value
2014-04,406.169,Provisional value
2014-07,-836.764,Provisional value
