"",BBFN1.M.DE.N.1.L.W03100.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W03100.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:08,
1995-01,0.342,
1995-02,0.332,
1995-03,0.322,
1995-04,0.354,
1995-05,0.345,
1995-06,0.323,
1995-07,0.327,
1995-08,0.302,
1995-09,0.529,
1995-10,0.541,
1995-11,0.536,
1995-12,0.458,
1996-01,0.457,
1996-02,0.492,
1996-03,0.485,
1996-04,0.513,
1996-05,0.558,
1996-06,0.555,
1996-07,0.590,
1996-08,0.615,
1996-09,0.610,
1996-10,0.613,
1996-11,0.614,
1996-12,0.618,
1997-01,0.635,
1997-02,0.642,
1997-03,0.661,
1997-04,0.668,
1997-05,0.579,
1997-06,0.592,
1997-07,0.618,
1997-08,0.636,
1997-09,0.688,
1997-10,0.680,
1997-11,0.688,
1997-12,0.697,
1998-01,0.713,
1998-02,0.704,
1998-03,0.703,
1998-04,0.719,
1998-05,0.752,
1998-06,0.761,
1998-07,0.756,
1998-08,0.765,
1998-09,0.730,
1998-10,0.793,
1998-11,0.795,
1998-12,0.787,
1999-01,0.908,
1999-02,1.071,
1999-03,1.030,
1999-04,1.136,
1999-05,1.093,
1999-06,1.146,
1999-07,1.050,
1999-08,1.043,
1999-09,1.193,
1999-10,1.013,
1999-11,0.999,
1999-12,1.048,
2000-01,1.038,
2000-02,1.005,
2000-03,1.003,
2000-04,0.980,
2000-05,0.919,
2000-06,0.695,
2000-07,0.737,
2000-08,0.733,
2000-09,0.729,
2000-10,0.739,
2000-11,0.792,
2000-12,0.807,
2001-01,0.781,
2001-02,0.927,
2001-03,0.931,
2001-04,0.887,
2001-05,0.858,
2001-06,0.808,
2001-07,0.801,
2001-08,0.795,
2001-09,0.792,
2001-10,0.821,
2001-11,0.831,
2001-12,0.835,
2002-01,0.941,
2002-02,0.956,
2002-03,0.907,
2002-04,0.902,
2002-05,0.883,
2002-06,0.883,
2002-07,0.855,
2002-08,0.856,
2002-09,0.841,
2002-10,0.840,
2002-11,0.835,
2002-12,0.824,
2003-01,0.799,
2003-02,0.746,
2003-03,0.763,
2003-04,0.806,
2003-05,0.813,
2003-06,0.799,
2003-07,0.784,
2003-08,0.824,
2003-09,0.905,
2003-10,0.847,
2003-11,0.853,
2003-12,0.823,
2004-01,0.727,
2004-02,1.588,
2004-03,1.580,
2004-04,1.552,
2004-05,1.488,
2004-06,1.483,
2004-07,1.461,
2004-08,1.508,
2004-09,1.489,
2004-10,1.485,
2004-11,1.488,
2004-12,1.449,
2005-01,1.439,
2005-02,1.424,
2005-03,1.397,
2005-04,1.394,
2005-05,1.505,
2005-06,1.502,
2005-07,1.497,
2005-08,1.444,
2005-09,1.441,
2005-10,1.429,
2005-11,1.371,
2005-12,1.342,
2006-01,1.522,
2006-02,1.523,
2006-03,1.509,
2006-04,1.499,
2006-05,1.788,
2006-06,1.777,
2006-07,1.776,
2006-08,1.774,
2006-09,1.603,
2006-10,1.603,
2006-11,1.337,
2006-12,1.321,
2007-01,1.299,
2007-02,1.296,
2007-03,1.270,
2007-04,1.213,
2007-05,1.128,
2007-06,1.126,
2007-07,1.126,
2007-08,1.284,
2007-09,1.227,
2007-10,1.198,
2007-11,1.168,
2007-12,1.064,
2008-01,1.060,
2008-02,1.042,
2008-03,1.039,
2008-04,1.103,
2008-05,1.124,
2008-06,1.420,
2008-07,1.427,
2008-08,1.528,
2008-09,1.552,
2008-10,1.700,
2008-11,1.833,
2008-12,1.799,
2009-01,1.850,
2009-02,1.847,
2009-03,1.823,
2009-04,1.634,
2009-05,1.637,
2009-06,1.552,
2009-07,1.673,
2009-08,1.771,
2009-09,1.738,
2009-10,1.730,
2009-11,1.699,
2009-12,1.982,
2010-01,1.960,
2010-02,1.932,
2010-03,1.941,
2010-04,1.916,
2010-05,1.920,
2010-06,1.960,
2010-07,2.034,
2010-08,2.059,
2010-09,2.015,
2010-10,2.012,
2010-11,2.196,
2010-12,2.185,
2011-01,2.184,
2011-02,2.202,
2011-03,2.167,
2011-04,2.031,
2011-05,2.030,
2011-06,2.074,
2011-07,2.103,
2011-08,2.099,
2011-09,2.143,
2011-10,2.078,
2011-11,2.228,
2011-12,2.185,
2012-01,2.178,
2012-02,1.310,
2012-03,1.332,
2012-04,1.479,
2012-05,1.426,
2012-06,1.433,
2012-07,1.442,
2012-08,1.424,
2012-09,1.416,
2012-10,1.415,
2012-11,1.453,
2012-12,1.446,
2013-01,1.410,
2013-02,1.426,
2013-03,1.404,
2013-04,1.143,
2013-05,1.114,
2013-06,1.074,
2013-07,1.210,
2013-08,0.925,
2013-09,1.077,
2013-10,1.095,
2013-11,1.160,
2013-12,1.158,
2014-01,1.158,
2014-02,1.190,
2014-03,1.230,
2014-04,1.009,
2014-05,1.029,
2014-06,1.063,
2014-07,0.956,
2014-08,1.033,
2014-09,1.070,
2014-10,1.022,
2014-11,1.043,
2014-12,1.046,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
