"",BBSF2.M.1.T.00000.REN01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.REN01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Bonds funds / Net asset value,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:31,
2009-09,280871,
2009-10,279923,
2009-11,284397,
2009-12,287124,
2010-01,293404,
2010-02,297607,
2010-03,302530,
2010-04,304966,
2010-05,308340,
2010-06,308496,
2010-07,309543,
2010-08,319293,
2010-09,320969,
2010-10,321539,
2010-11,318545,
2010-12,315004,
2011-01,313810,
2011-02,315666,
2011-03,312458,
2011-04,310326,
2011-05,311246,
2011-06,310480,
2011-07,315710,
2011-08,316933,
2011-09,316389,
2011-10,319244,
2011-11,313836,
2011-12,324709,
2012-01,332510,
2012-02,338407,
2012-03,341429,
2012-04,342310,
2012-05,349947,
2012-06,350966,
2012-07,362039,
2012-08,366914,
2012-09,368025,
2012-10,372461,
2012-11,376695,
2012-12,381182,
2013-01,378619,
2013-02,381639,
2013-03,385946,
2013-04,392292,
2013-05,388045,
2013-06,378261,
2013-07,382799,
2013-08,379554,
2013-09,382695,
2013-10,387911,
2013-11,392854,
2013-12,392154,
2014-01,397979,
2014-02,403107,
2014-03,411657,
2014-04,410221,
2014-05,418150,
2014-06,422271,
2014-07,428084,
2014-08,438334,
2014-09,439037,
2014-10,443502,
2014-11,448135,
