"",BBK01.OEAE09K,BBK01.OEAE09K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:52,
2002-01,4.349,
2002-04,4.248,
2002-07,3.898,
2002-10,3.996,
2003-01,3.594,
2003-04,3.234,
2003-07,3.303,
2003-10,3.496,
2004-01,3.187,
2004-04,3.792,
2004-07,3.032,
2004-10,3.144,
2005-01,2.917,
2005-04,2.860,
2005-07,2.785,
2005-10,2.706,
2006-01,2.736,
2006-04,2.860,
2006-07,3.055,
2006-10,2.759,
2007-01,2.505,
2007-04,2.479,
2007-07,2.784,
2007-10,2.590,
2008-01,2.907,
2008-04,2.929,
2008-07,2.960,
2008-10,2.574,
2009-01,2.742,
2009-04,2.410,
2009-07,2.173,
2009-10,2.295,
2010-01,2.087,
2010-04,2.218,
2010-07,2.191,
2010-10,2.410,
2011-01,2.674,
2011-04,2.610,
2011-07,2.737,
2011-10,2.598,
2012-01,2.720,
2012-04,2.547,
2012-07,3.092,
2012-10,3.067,
2013-01,2.990,
2013-04,2.998,
2013-07,2.864,
2013-10,2.797,
2014-01,2.803,
2014-04,2.937,
2014-07,2.895,
