"",BBK01.OECI04J,BBK01.OECI04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:40,
2002-01,0.695,
2002-04,0.680,
2002-07,0.595,
2002-10,0.562,
2003-01,0.530,
2003-04,0.539,
2003-07,0.463,
2003-10,0.387,
2004-01,0.377,
2004-04,0.266,
2004-07,0.289,
2004-10,0.358,
2005-01,0.345,
2005-04,0.309,
2005-07,0.304,
2005-10,0.509,
2006-01,0.454,
2006-04,0.371,
2006-07,0.419,
2006-10,0.441,
2007-01,0.405,
2007-04,0.424,
2007-07,0.703,
2007-10,0.914,
2008-01,0.885,
2008-04,0.989,
2008-07,1.142,
2008-10,1.202,
2009-01,1.079,
2009-04,0.953,
2009-07,0.869,
2009-10,0.870,
2010-01,0.747,
2010-04,0.636,
2010-07,0.614,
2010-10,0.639,
2011-01,0.720,
2011-04,0.632,
2011-07,0.705,
2011-10,0.620,
2012-01,0.614,
2012-04,1.077,
2012-07,0.888,
2012-10,0.623,
2013-01,0.518,
2013-04,0.445,
2013-07,0.465,
2013-10,0.361,
2014-01,0.560,
2014-04,0.536,
2014-07,0.438,
