"",BBK01.OEAE05H,BBK01.OEAE05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:04,
2002-01,6.292,
2002-04,6.219,
2002-07,6.131,
2002-10,6.213,
2003-01,6.052,
2003-04,5.957,
2003-07,5.828,
2003-10,5.817,
2004-01,5.733,
2004-04,5.695,
2004-07,5.548,
2004-10,5.480,
2005-01,5.394,
2005-04,5.345,
2005-07,5.325,
2005-10,5.278,
2006-01,5.253,
2006-04,5.258,
2006-07,5.153,
2006-10,5.153,
2007-01,5.142,
2007-04,5.094,
2007-07,4.987,
2007-10,4.981,
2008-01,4.912,
2008-04,4.895,
2008-07,4.827,
2008-10,4.912,
2009-01,4.919,
2009-04,4.646,
2009-07,4.580,
2009-10,4.562,
2010-01,4.570,
2010-04,4.566,
2010-07,4.482,
2010-10,4.523,
2011-01,4.486,
2011-04,4.454,
2011-07,4.549,
2011-10,4.609,
2012-01,4.582,
2012-04,4.608,
2012-07,4.509,
2012-10,4.489,
2013-01,4.502,
2013-04,4.537,
2013-07,4.503,
2013-10,4.610,
2014-01,4.650,
2014-04,4.687,
2014-07,4.630,
