"",BBK01.OEXK01I,BBK01.OEXK01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:57,
2002-01,1.610,
2002-04,1.542,
2002-07,1.537,
2002-10,1.626,
2003-01,1.560,
2003-04,1.526,
2003-07,1.030,
2003-10,1.052,
2004-01,1.017,
2004-04,1.024,
2004-07,0.991,
2004-10,1.187,
2005-01,1.109,
2005-04,1.094,
2005-07,1.088,
2005-10,1.566,
2006-01,1.496,
2006-04,1.574,
2006-07,1.563,
2006-10,2.359,
2007-01,2.326,
2007-04,2.562,
2007-07,2.457,
2007-10,2.288,
2008-01,2.269,
2008-04,2.132,
2008-07,2.088,
2008-10,2.130,
2009-01,1.915,
2009-04,1.907,
2009-07,1.860,
2009-10,2.025,
2010-01,2.139,
2010-04,3.150,
2010-07,3.248,
2010-10,3.430,
2011-01,3.778,
2011-04,3.906,
2011-07,4.269,
2011-10,4.411,
2012-01,4.961,
2012-04,5.419,
2012-07,5.790,
2012-10,5.716,
2013-01,5.818,
2013-04,5.701,
2013-07,5.795,
2013-10,6.013,
2014-01,5.956,
2014-04,6.030,
2014-07,6.022,
