"",BBK01.OEXL04G,BBK01.OEXL04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:05,
2002-01,5.883,
2002-04,5.548,
2002-07,5.589,
2002-10,5.128,
2003-01,4.812,
2003-04,4.483,
2003-07,4.102,
2003-10,3.843,
2004-01,3.528,
2004-04,3.361,
2004-07,3.191,
2004-10,3.116,
2005-01,0.587,
2005-04,0.570,
2005-07,0.454,
2005-10,0.553,
2006-01,0.547,
2006-04,0.525,
2006-07,0.612,
2006-10,0.787,
2007-01,0.977,
2007-04,1.101,
2007-07,1.368,
2007-10,2.013,
2008-01,2.799,
2008-04,3.101,
2008-07,3.330,
2008-10,4.000,
2009-01,7.444,
2009-04,7.885,
2009-07,7.433,
2009-10,7.181,
2010-01,4.585,
2010-04,4.265,
2010-07,4.144,
2010-10,4.215,
2011-01,3.968,
2011-04,3.750,
2011-07,4.182,
2011-10,4.394,
2012-01,4.324,
2012-04,4.789,
2012-07,4.500,
2012-10,5.276,
2013-01,5.775,
2013-04,4.973,
2013-07,4.229,
2013-10,3.992,
2014-01,3.895,
2014-04,3.882,
2014-07,3.908,
