"",BBK01.OEYB12M,BBK01.OEYB12M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:20,
2002-01,21.110,
2002-04,20.747,
2002-07,20.778,
2002-10,21.061,
2003-01,20.830,
2003-04,21.313,
2003-07,21.275,
2003-10,21.586,
2004-01,21.819,
2004-04,21.997,
2004-07,22.217,
2004-10,21.456,
2005-01,20.974,
2005-04,20.749,
2005-07,20.158,
2005-10,21.594,
2006-01,21.734,
2006-04,21.544,
2006-07,20.973,
2006-10,21.963,
2007-01,22.123,
2007-04,22.565,
2007-07,22.826,
2007-10,23.404,
2008-01,23.294,
2008-04,23.409,
2008-07,24.790,
2008-10,25.894,
2009-01,26.108,
2009-04,26.368,
2009-07,26.711,
2009-10,27.130,
2010-01,28.157,
2010-04,26.764,
2010-07,25.608,
2010-10,26.445,
2011-01,25.766,
2011-04,26.161,
2011-07,26.724,
2011-10,27.288,
2012-01,27.354,
2012-04,27.669,
2012-07,27.655,
2012-10,27.446,
2013-01,27.339,
2013-04,26.390,
2013-07,25.989,
2013-10,25.889,
2014-01,25.778,
2014-04,25.230,
2014-07,25.432,
