"",BBNZ1.Q.DE.N.G.0158.A,BBNZ1.Q.DE.N.G.0158.A_FLAGS
"",Germany / National accounts / Use of GDP / Other investment / At current prices,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-24 08:20:39,
1991-01,10.839,
1991-04,11.055,
1991-07,11.457,
1991-10,12.183,
1992-01,11.254,
1992-04,11.535,
1992-07,11.827,
1992-10,12.482,
1993-01,11.506,
1993-04,11.778,
1993-07,11.886,
1993-10,12.607,
1994-01,11.701,
1994-04,11.880,
1994-07,12.084,
1994-10,12.931,
1995-01,12.048,
1995-04,12.300,
1995-07,12.625,
1995-10,13.469,
1996-01,12.649,
1996-04,12.967,
1996-07,13.169,
1996-10,13.893,
1997-01,13.110,
1997-04,13.194,
1997-07,13.346,
1997-10,14.235,
1998-01,13.704,
1998-04,14.020,
1998-07,14.347,
1998-10,15.533,
1999-01,14.945,
1999-04,15.537,
1999-07,15.848,
1999-10,16.944,
2000-01,16.044,
2000-04,16.214,
2000-07,16.512,
2000-10,17.882,
2001-01,17.131,
2001-04,17.438,
2001-07,17.623,
2001-10,18.685,
2002-01,17.603,
2002-04,17.688,
2002-07,17.741,
2002-10,18.693,
2003-01,17.521,
2003-04,17.551,
2003-07,17.689,
2003-10,18.638,
2004-01,17.840,
2004-04,18.013,
2004-07,18.210,
2004-10,19.075,
2005-01,18.008,
2005-04,18.210,
2005-07,18.353,
2005-10,19.394,
2006-01,18.684,
2006-04,18.952,
2006-07,19.164,
2006-10,20.556,
2007-01,19.382,
2007-04,19.805,
2007-07,20.111,
2007-10,21.516,
2008-01,20.013,
2008-04,20.596,
2008-07,20.771,
2008-10,22.251,
2009-01,20.278,
2009-04,20.651,
2009-07,20.982,
2009-10,22.581,
2010-01,20.681,
2010-04,21.040,
2010-07,21.388,
2010-10,23.342,
2011-01,22.282,
2011-04,23.098,
2011-07,23.366,
2011-10,24.898,
2012-01,22.860,
2012-04,23.532,
2012-07,23.900,
2012-10,25.355,
2013-01,23.797,
2013-04,24.280,
2013-07,24.552,
2013-10,26.183,
2014-01,24.520,
2014-04,25.093,
2014-07,25.364,
2014-10,27.096,
