"",BBK01.OEBJ03P,BBK01.OEBJ03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:19,
2002-01,0.217,
2002-04,0.238,
2002-07,0.237,
2002-10,0.209,
2003-01,0.210,
2003-04,0.236,
2003-07,0.273,
2003-10,0.493,
2004-01,0.466,
2004-04,0.478,
2004-07,0.265,
2004-10,0.443,
2005-01,0.339,
2005-04,0.228,
2005-07,0.234,
2005-10,0.352,
2006-01,0.302,
2006-04,0.253,
2006-07,0.234,
2006-10,0.260,
2007-01,0.344,
2007-04,0.329,
2007-07,0.367,
2007-10,0.512,
2008-01,0.540,
2008-04,0.491,
2008-07,0.360,
2008-10,0.476,
2009-01,0.501,
2009-04,0.376,
2009-07,0.397,
2009-10,0.397,
2010-01,0.551,
2010-04,0.354,
2010-07,0.422,
2010-10,0.439,
2011-01,0.466,
2011-04,0.523,
2011-07,0.539,
2011-10,0.530,
2012-01,0.456,
2012-04,0.500,
2012-07,0.673,
2012-10,0.632,
2013-01,0.572,
2013-04,0.444,
2013-07,0.402,
2013-10,0.229,
2014-01,0.274,
2014-04,0.368,
2014-07,0.337,
