"",BBK01.OELO04R,BBK01.OELO04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:22,
2002-01,-,Nothing exists
2002-04,-0.018,
2002-07,0.013,
2002-10,0.018,
2003-01,0.016,
2003-04,-0.027,
2003-07,0.017,
2003-10,0.001,
2004-01,0.008,
2004-04,-0.015,
2004-07,-0.011,
2004-10,0.005,
2005-01,0.011,
2005-04,-0.016,
2005-07,0.001,
2005-10,0.003,
2006-01,0.014,
2006-04,-0.013,
2006-07,0.006,
2006-10,-0.023,
2007-01,-0.033,
2007-04,-0.017,
2007-07,0.011,
2007-10,-0.013,
2008-01,0.012,
2008-04,-0.041,
2008-07,-0.034,
2008-10,0.008,
2009-01,-0.010,
2009-04,-0.045,
2009-07,-0.018,
2009-10,0.013,
2010-01,-0.022,
2010-04,-0.034,
2010-07,-0.020,
2010-10,-0.009,
2011-01,-0.005,
2011-04,-0.009,
2011-07,-0.002,
2011-10,-,Nothing exists
2012-01,-0.004,
2012-04,-0.001,
2012-07,-,Nothing exists
2012-10,0.003,
2013-01,-0.002,
2013-04,-,Nothing exists
2013-07,0.005,
2013-10,0.003,
2014-01,0.001,
2014-04,-0.011,
2014-07,-0.005,
