"",BBK01.OEHB07M,BBK01.OEHB07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:58,
2002-01,2.950,
2002-04,2.923,
2002-07,2.906,
2002-10,2.880,
2003-01,2.856,
2003-04,2.838,
2003-07,2.823,
2003-10,2.773,
2004-01,2.721,
2004-04,2.685,
2004-07,2.653,
2004-10,2.663,
2005-01,2.538,
2005-04,2.581,
2005-07,2.610,
2005-10,2.577,
2006-01,2.581,
2006-04,2.564,
2006-07,2.520,
2006-10,2.547,
2007-01,2.544,
2007-04,2.521,
2007-07,2.604,
2007-10,2.576,
2008-01,2.612,
2008-04,2.648,
2008-07,2.650,
2008-10,2.548,
2009-01,2.580,
2009-04,2.507,
2009-07,2.488,
2009-10,2.468,
2010-01,2.515,
2010-04,2.642,
2010-07,2.710,
2010-10,2.770,
2011-01,2.797,
2011-04,2.844,
2011-07,2.949,
2011-10,2.996,
2012-01,3.076,
2012-04,3.139,
2012-07,3.217,
2012-10,3.276,
2013-01,3.273,
2013-04,3.306,
2013-07,3.326,
2013-10,3.396,
2014-01,3.387,
2014-04,3.444,
2014-07,3.457,
