"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.LU.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.LU.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Luxembourg,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:30,
2009-09,1246,
2009-10,1128,
2009-11,1206,
2009-12,1474,
2010-01,1311,
2010-02,1364,
2010-03,1597,
2010-04,1479,
2010-05,1250,
2010-06,1187,
2010-07,1197,
2010-08,1326,
2010-09,1206,
2010-10,1539,
2010-11,1611,
2010-12,1775,
2011-01,1726,
2011-02,1679,
2011-03,1747,
2011-04,1630,
2011-05,1517,
2011-06,1535,
2011-07,1485,
2011-08,1226,
2011-09,1143,
2011-10,1244,
2011-11,1362,
2011-12,1275,
2012-01,1357,
2012-02,1380,
2012-03,1346,
2012-04,1335,
2012-05,1261,
2012-06,1318,
2012-07,1367,
2012-08,1377,
2012-09,1422,
2012-10,1462,
2012-11,1454,
2012-12,1502,
2013-01,1524,
2013-02,1515,
2013-03,1616,
2013-04,1571,
2013-05,1630,
2013-06,1904,
2013-07,1598,
2013-08,1574,
2013-09,1553,
2013-10,2013,
2013-11,2112,
2013-12,2185,
2014-01,2194,
2014-02,2176,
2014-03,2160,
2014-04,2042,
2014-05,2097,
2014-06,2379,
2014-07,2338,
2014-08,2394,
2014-09,2378,
2014-10,2691,
2014-11,2615,
