"",BBK01.OEBI06L,BBK01.OEBI06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:47,
2002-01,1.250,
2002-04,1.186,
2002-07,1.205,
2002-10,1.279,
2003-01,1.260,
2003-04,1.154,
2003-07,1.132,
2003-10,1.129,
2004-01,1.316,
2004-04,1.612,
2004-07,1.586,
2004-10,1.584,
2005-01,1.519,
2005-04,1.493,
2005-07,1.493,
2005-10,1.517,
2006-01,1.540,
2006-04,1.592,
2006-07,1.749,
2006-10,4.838,
2007-01,4.980,
2007-04,5.505,
2007-07,6.191,
2007-10,6.643,
2008-01,7.571,
2008-04,9.393,
2008-07,10.159,
2008-10,10.300,
2009-01,10.439,
2009-04,10.121,
2009-07,11.125,
2009-10,11.061,
2010-01,11.441,
2010-04,12.151,
2010-07,11.546,
2010-10,11.784,
2011-01,11.548,
2011-04,11.669,
2011-07,12.075,
2011-10,12.623,
2012-01,12.526,
2012-04,12.976,
2012-07,13.120,
2012-10,13.300,
2013-01,13.493,
2013-04,13.294,
2013-07,13.098,
2013-10,13.169,
2014-01,11.789,
2014-04,12.009,
2014-07,12.591,
