"",BBK01.OEAA13J,BBK01.OEAA13J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:33,
2002-01,17.457,
2002-04,17.653,
2002-07,18.249,
2002-10,18.527,
2003-01,18.416,
2003-04,18.235,
2003-07,18.236,
2003-10,18.267,
2004-01,18.510,
2004-04,18.888,
2004-07,18.835,
2004-10,18.872,
2005-01,20.603,
2005-04,20.768,
2005-07,20.842,
2005-10,21.127,
2006-01,21.250,
2006-04,21.212,
2006-07,21.385,
2006-10,19.860,
2007-01,19.603,
2007-04,19.656,
2007-07,19.832,
2007-10,19.817,
2008-01,19.882,
2008-04,20.098,
2008-07,19.598,
2008-10,19.574,
2009-01,19.234,
2009-04,19.402,
2009-07,18.581,
2009-10,18.752,
2010-01,18.617,
2010-04,21.998,
2010-07,21.609,
2010-10,21.817,
2011-01,21.602,
2011-04,21.401,
2011-07,21.418,
2011-10,21.553,
2012-01,20.786,
2012-04,22.079,
2012-07,21.914,
2012-10,21.193,
2013-01,21.324,
2013-04,21.331,
2013-07,21.498,
2013-10,21.389,
2014-01,21.198,
2014-04,21.222,
2014-07,21.237,
