"",BBK01.OEBI01V,BBK01.OEBI01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:17,
2002-01,13.552,
2002-04,11.747,
2002-07,11.714,
2002-10,14.397,
2003-01,10.600,
2003-04,10.454,
2003-07,11.419,
2003-10,11.544,
2004-01,11.213,
2004-04,11.560,
2004-07,11.863,
2004-10,11.085,
2005-01,13.044,
2005-04,13.463,
2005-07,14.581,
2005-10,13.385,
2006-01,13.013,
2006-04,13.288,
2006-07,13.559,
2006-10,14.280,
2007-01,14.573,
2007-04,14.794,
2007-07,15.015,
2007-10,16.083,
2008-01,16.655,
2008-04,16.834,
2008-07,17.672,
2008-10,18.091,
2009-01,19.841,
2009-04,19.659,
2009-07,19.486,
2009-10,18.297,
2010-01,17.962,
2010-04,18.046,
2010-07,18.155,
2010-10,18.128,
2011-01,18.519,
2011-04,18.576,
2011-07,19.644,
2011-10,19.913,
2012-01,20.249,
2012-04,20.502,
2012-07,20.230,
2012-10,20.339,
2013-01,19.901,
2013-04,20.182,
2013-07,20.096,
2013-10,20.537,
2014-01,20.334,
2014-04,20.852,
2014-07,21.579,
