"",BBK01.OECB13L,BBK01.OECB13L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:29,
2002-01,3.074,
2002-04,3.011,
2002-07,2.930,
2002-10,2.705,
2003-01,2.592,
2003-04,2.507,
2003-07,2.431,
2003-10,2.364,
2004-01,2.308,
2004-04,2.264,
2004-07,2.261,
2004-10,2.375,
2005-01,2.511,
2005-04,2.393,
2005-07,2.414,
2005-10,2.339,
2006-01,2.312,
2006-04,2.306,
2006-07,2.303,
2006-10,2.280,
2007-01,2.266,
2007-04,2.277,
2007-07,2.236,
2007-10,2.229,
2008-01,2.186,
2008-04,2.163,
2008-07,2.148,
2008-10,2.095,
2009-01,2.075,
2009-04,3.532,
2009-07,3.446,
2009-10,3.409,
2010-01,3.388,
2010-04,3.410,
2010-07,3.390,
2010-10,3.051,
2011-01,3.254,
2011-04,3.147,
2011-07,3.034,
2011-10,2.933,
2012-01,2.836,
2012-04,2.796,
2012-07,2.704,
2012-10,2.721,
2013-01,2.664,
2013-04,2.592,
2013-07,2.583,
2013-10,2.509,
2014-01,2.494,
2014-04,2.533,
2014-07,2.516,
