"",BBDE1.M.DE.W.AEM1.A2P350000.F.V.I10.A,BBDE1.M.DE.W.AEM1.A2P350000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, total / At current prices, flows / Germany / Consumer goods (Durable- and Non-durable gooods) / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:53,
2010-01,98.7,
2010-02,100.0,
2010-03,106.4,
2010-04,92.7,
2010-05,95.9,
2010-06,99.3,
2010-07,104.1,
2010-08,99.5,
2010-09,103.3,
2010-10,103.9,
2010-11,101.9,
2010-12,89.0,
2011-01,102.4,
2011-02,109.7,
2011-03,110.0,
2011-04,99.6,
2011-05,99.0,
2011-06,99.8,
2011-07,112.6,
2011-08,102.3,
2011-09,107.7,
2011-10,106.3,
2011-11,104.0,
2011-12,90.6,
2012-01,102.1,
2012-02,105.8,
2012-03,113.1,
2012-04,95.5,
2012-05,100.5,
2012-06,102.3,
2012-07,109.7,
2012-08,105.1,
2012-09,107.1,
2012-10,107.8,
2012-11,104.0,
2012-12,92.5,
2013-01,101.8,
2013-02,107.5,
2013-03,109.5,
2013-04,102.2,
2013-05,101.1,
2013-06,102.3,
2013-07,111.6,
2013-08,103.7,
2013-09,111.9,
2013-10,112.0,
2013-11,112.8,
2013-12,94.8,
2014-01,112.6,
2014-02,116.9,
2014-03,113.3,
2014-04,107.2,
2014-05,106.4,
2014-06,108.4,
2014-07,113.7,
2014-08,111.0,
2014-09,112.7,
2014-10,114.5,
2014-11,113.8,
2014-12,98.1,Provisional value
