"",BBK01.OEAD36V,BBK01.OEAD36V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:10,
2002-01,0.385,
2002-04,0.398,
2002-07,0.378,
2002-10,0.348,
2003-01,0.350,
2003-04,0.310,
2003-07,0.306,
2003-10,0.297,
2004-01,0.307,
2004-04,0.298,
2004-07,0.329,
2004-10,0.314,
2005-01,0.296,
2005-04,0.285,
2005-07,0.280,
2005-10,0.267,
2006-01,0.272,
2006-04,0.286,
2006-07,0.292,
2006-10,0.276,
2007-01,0.263,
2007-04,0.253,
2007-07,0.256,
2007-10,0.284,
2008-01,0.290,
2008-04,0.286,
2008-07,0.301,
2008-10,0.328,
2009-01,0.329,
2009-04,0.345,
2009-07,0.349,
2009-10,0.327,
2010-01,0.344,
2010-04,0.339,
2010-07,0.347,
2010-10,0.351,
2011-01,0.343,
2011-04,0.329,
2011-07,0.321,
2011-10,0.322,
2012-01,0.320,
2012-04,0.311,
2012-07,0.296,
2012-10,0.295,
2013-01,0.297,
2013-04,0.296,
2013-07,0.316,
2013-10,0.313,
2014-01,0.322,
2014-04,0.337,
2014-07,0.341,
