"",BBK01.OEYB10Q,BBK01.OEYB10Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:08,
2002-01,1.735,
2002-04,1.827,
2002-07,2.070,
2002-10,2.919,
2003-01,3.129,
2003-04,3.294,
2003-07,3.717,
2003-10,4.384,
2004-01,3.647,
2004-04,2.358,
2004-07,2.342,
2004-10,2.687,
2005-01,2.650,
2005-04,3.030,
2005-07,2.635,
2005-10,2.620,
2006-01,2.454,
2006-04,2.514,
2006-07,2.818,
2006-10,2.643,
2007-01,2.861,
2007-04,2.936,
2007-07,3.026,
2007-10,3.079,
2008-01,2.841,
2008-04,5.748,
2008-07,4.459,
2008-10,1.951,
2009-01,1.892,
2009-04,3.133,
2009-07,2.313,
2009-10,3.151,
2010-01,1.594,
2010-04,3.150,
2010-07,2.239,
2010-10,2.834,
2011-01,3.582,
2011-04,1.058,
2011-07,0.971,
2011-10,0.971,
2012-01,3.708,
2012-04,3.959,
2012-07,6.933,
2012-10,2.713,
2013-01,1.229,
2013-04,0.938,
2013-07,0.961,
2013-10,1.591,
2014-01,1.373,
2014-04,1.473,
2014-07,1.686,
