"",BBK01.OELB16H,BBK01.OELB16H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:25,
2002-01,14.696,
2002-04,14.728,
2002-07,14.738,
2002-10,14.753,
2003-01,14.668,
2003-04,14.739,
2003-07,14.851,
2003-10,14.805,
2004-01,14.644,
2004-04,14.771,
2004-07,14.880,
2004-10,14.889,
2005-01,14.796,
2005-04,14.857,
2005-07,14.959,
2005-10,15.073,
2006-01,14.968,
2006-04,15.016,
2006-07,15.121,
2006-10,15.135,
2007-01,15.058,
2007-04,15.185,
2007-07,15.254,
2007-10,15.421,
2008-01,15.359,
2008-04,15.534,
2008-07,15.701,
2008-10,15.842,
2009-01,15.780,
2009-04,16.034,
2009-07,16.383,
2009-10,16.832,
2010-01,16.936,
2010-04,17.538,
2010-07,17.844,
2010-10,18.127,
2011-01,18.164,
2011-04,18.457,
2011-07,18.648,
2011-10,18.927,
2012-01,18.976,
2012-04,21.839,
2012-07,21.685,
2012-10,21.776,
2013-01,21.678,
2013-04,21.837,
2013-07,22.085,
2013-10,22.162,
2014-01,22.171,
2014-04,22.303,
2014-07,22.534,
