"",BBK01.TQ7040,BBK01.TQ7040_FLAGS
"",Real estate markets - Commercial real estate loans to total loans                                              FSI-I040,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:40,
2005-10,6.13,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,5.85,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,5.41,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,5.25,
2009-01,5.57,
2009-04,5.59,
2009-07,5.76,
2009-10,5.84,
2010-01,5.81,
2010-04,5.52,
2010-07,5.75,
2010-10,5.70,
2011-01,5.80,
2011-04,5.98,
2011-07,5.73,
2011-10,5.73,
2012-01,5.49,
2012-04,5.50,
2012-07,5.51,
2012-10,5.69,
2013-01,5.76,
2013-04,5.74,
2013-07,5.84,
2013-10,5.92,
2014-01,5.89,
2014-04,5.84,
2014-07,5.81,
