"",BBK01.OEAF40L,BBK01.OEAF40L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:25,
2002-01,0.148,
2002-04,0.143,
2002-07,0.155,
2002-10,0.149,
2003-01,0.159,
2003-04,0.163,
2003-07,0.186,
2003-10,0.179,
2004-01,0.178,
2004-04,0.163,
2004-07,0.171,
2004-10,0.170,
2005-01,0.161,
2005-04,0.167,
2005-07,0.168,
2005-10,0.189,
2006-01,0.195,
2006-04,0.230,
2006-07,0.234,
2006-10,0.239,
2007-01,0.239,
2007-04,0.223,
2007-07,0.229,
2007-10,0.215,
2008-01,0.207,
2008-04,0.212,
2008-07,0.174,
2008-10,0.147,
2009-01,0.147,
2009-04,0.142,
2009-07,0.134,
2009-10,0.130,
2010-01,0.129,
2010-04,0.129,
2010-07,0.125,
2010-10,0.120,
2011-01,0.117,
2011-04,0.115,
2011-07,0.112,
2011-10,0.117,
2012-01,0.115,
2012-04,0.113,
2012-07,0.110,
2012-10,0.114,
2013-01,0.110,
2013-04,0.108,
2013-07,0.103,
2013-10,0.102,
2014-01,0.110,
2014-04,0.110,
2014-07,0.109,
