"",BBFN1.M.DE.N.1.L.TH.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.TH.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Thailand,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:44,
1994-07,0.049,
1994-08,0.054,
1994-09,0.057,
1994-10,0.053,
1994-11,0.058,
1994-12,0.087,
1995-01,0.062,
1995-02,0.061,
1995-03,0.061,
1995-04,0.069,
1995-05,0.056,
1995-06,0.061,
1995-07,0.063,
1995-08,0.076,
1995-09,0.071,
1995-10,0.065,
1995-11,0.081,
1995-12,0.074,
1996-01,0.070,
1996-02,0.083,
1996-03,0.141,
1996-04,0.143,
1996-05,0.147,
1996-06,0.147,
1996-07,0.148,
1996-08,0.166,
1996-09,0.146,
1996-10,0.148,
1996-11,0.140,
1996-12,0.144,
1997-01,0.133,
1997-02,0.135,
1997-03,0.148,
1997-04,0.137,
1997-05,0.058,
1997-06,0.058,
1997-07,0.055,
1997-08,0.059,
1997-09,0.064,
1997-10,0.071,
1997-11,0.057,
1997-12,0.063,
1998-01,0.070,
1998-02,0.073,
1998-03,0.068,
1998-04,0.070,
1998-05,0.088,
1998-06,0.071,
1998-07,0.067,
1998-08,0.067,
1998-09,0.069,
1998-10,0.069,
1998-11,0.083,
1998-12,0.088,
1999-01,0.077,
1999-02,0.072,
1999-03,0.073,
1999-04,0.075,
1999-05,0.078,
1999-06,0.083,
1999-07,0.075,
1999-08,0.080,
1999-09,0.079,
1999-10,0.077,
1999-11,0.076,
1999-12,0.084,
2000-01,0.080,
2000-02,0.084,
2000-03,0.107,
2000-04,0.097,
2000-05,0.094,
2000-06,0.096,
2000-07,0.095,
2000-08,0.099,
2000-09,0.116,
2000-10,0.124,
2000-11,0.133,
2000-12,0.145,
2001-01,0.150,
2001-02,0.164,
2001-03,0.184,
2001-04,0.147,
2001-05,0.207,
2001-06,0.232,
2001-07,0.218,
2001-08,0.234,
2001-09,0.235,
2001-10,0.205,
2001-11,0.173,
2001-12,0.177,
2002-01,0.141,
2002-02,0.151,
2002-03,0.151,
2002-04,0.144,
2002-05,0.141,
2002-06,0.131,
2002-07,0.137,
2002-08,0.143,
2002-09,0.135,
2002-10,0.155,
2002-11,0.168,
2002-12,0.154,
2003-01,0.145,
2003-02,0.134,
2003-03,0.142,
2003-04,0.115,
2003-05,0.100,
2003-06,0.096,
2003-07,0.080,
2003-08,0.073,
2003-09,0.076,
2003-10,0.071,
2003-11,0.073,
2003-12,0.083,
2004-01,0.075,
2004-02,0.077,
2004-03,0.073,
2004-04,0.072,
2004-05,0.070,
2004-06,0.069,
2004-07,0.070,
2004-08,0.079,
2004-09,0.079,
2004-10,0.079,
2004-11,0.072,
2004-12,0.079,
2005-01,0.076,
2005-02,0.079,
2005-03,0.090,
2005-04,0.091,
2005-05,0.101,
2005-06,0.095,
2005-07,0.100,
2005-08,0.099,
2005-09,0.101,
2005-10,0.098,
2005-11,0.113,
2005-12,0.104,
2006-01,0.098,
2006-02,0.106,
2006-03,0.117,
2006-04,0.117,
2006-05,0.110,
2006-06,0.115,
2006-07,0.110,
2006-08,0.112,
2006-09,0.119,
2006-10,0.116,
2006-11,0.104,
2006-12,0.120,
2007-01,0.119,
2007-02,0.116,
2007-03,0.126,
2007-04,0.124,
2007-05,0.123,
2007-06,0.139,
2007-07,0.138,
2007-08,0.125,
2007-09,0.136,
2007-10,0.128,
2007-11,0.122,
2007-12,0.127,
2008-01,0.116,
2008-02,0.132,
2008-03,0.134,
2008-04,0.152,
2008-05,0.155,
2008-06,0.168,
2008-07,0.155,
2008-08,0.153,
2008-09,0.149,
2008-10,0.143,
2008-11,0.148,
2008-12,0.151,
2009-01,0.120,
2009-02,0.114,
2009-03,0.114,
2009-04,0.112,
2009-05,0.152,
2009-06,0.113,
2009-07,0.118,
2009-08,0.113,
2009-09,0.119,
2009-10,0.112,
2009-11,0.107,
2009-12,0.111,
2010-01,0.105,
2010-02,0.105,
2010-03,0.121,
2010-04,0.114,
2010-05,0.106,
2010-06,0.119,
2010-07,0.117,
2010-08,0.131,
2010-09,0.129,
2010-10,0.120,
2010-11,0.119,
2010-12,0.124,
2011-01,0.124,
2011-02,0.134,
2011-03,0.137,
2011-04,0.138,
2011-05,0.141,
2011-06,0.148,
2011-07,0.148,
2011-08,0.150,
2011-09,0.160,
2011-10,0.148,
2011-11,0.128,
2011-12,0.121,
2012-01,0.126,
2012-02,0.132,
2012-03,0.147,
2012-04,0.157,
2012-05,0.172,
2012-06,0.190,
2012-07,0.170,
2012-08,0.146,
2012-09,0.143,
2012-10,0.123,
2012-11,0.129,
2012-12,0.133,
2013-01,0.120,
2013-02,0.126,
2013-03,0.149,
2013-04,0.148,
2013-05,0.142,
2013-06,0.164,
2013-07,0.146,
2013-08,0.173,
2013-09,0.133,
2013-10,0.120,
2013-11,0.134,
2013-12,0.151,
2014-01,0.165,
2014-02,0.167,
2014-03,0.181,
2014-04,0.167,
2014-05,0.174,
2014-06,0.166,
2014-07,0.169,
2014-08,0.163,
2014-09,0.155,
2014-10,0.148,
2014-11,0.166,
2014-12,0.180,
