"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.AU.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.AU.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Australia,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:09,
2009-09,3907,
2009-10,3993,
2009-11,4477,
2009-12,4466,
2010-01,4431,
2010-02,4545,
2010-03,4983,
2010-04,5115,
2010-05,5042,
2010-06,4841,
2010-07,4965,
2010-08,5042,
2010-09,5299,
2010-10,5345,
2010-11,5322,
2010-12,5258,
2011-01,5087,
2011-02,5148,
2011-03,5315,
2011-04,5430,
2011-05,5510,
2011-06,5566,
2011-07,5660,
2011-08,5692,
2011-09,5637,
2011-10,5658,
2011-11,5711,
2011-12,5842,
2012-01,6514,
2012-02,6783,
2012-03,7057,
2012-04,7136,
2012-05,7544,
2012-06,7464,
2012-07,8053,
2012-08,8162,
2012-09,8395,
2012-10,8397,
2012-11,8345,
2012-12,8596,
2013-01,8309,
2013-02,8473,
2013-03,8663,
2013-04,9053,
2013-05,8913,
2013-06,8602,
2013-07,8865,
2013-08,8739,
2013-09,9087,
2013-10,9515,
2013-11,9575,
2013-12,9372,
2014-01,9741,
2014-02,9711,
2014-03,10126,
2014-04,10410,
2014-05,10593,
2014-06,10804,
2014-07,11018,
2014-08,11283,
2014-09,11514,
2014-10,11989,
2014-11,11950,
