"",BBFI1.M.N.DE.W1.S121.S122A.LE.A.FA.R.F2.T.X1.N.N,BBFI1.M.N.DE.W1.S121.S122A.LE.A.FA.R.F2.T.X1.N.N_FLAGS
"",Reserve Assets (mthly.) - Currency and deposits - Positions,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:08,
1999-12,3140,
2000-01,3303,
2000-02,2994,
2000-03,4623,
2000-04,3090,
2000-05,3444,
2000-06,3225,
2000-07,4470,
2000-08,3498,
2000-09,4166,
2000-10,3534,
2000-11,3518,
2000-12,3468,
2001-01,2057,
2001-02,3259,
2001-03,4101,
2001-04,3398,
2001-05,2325,
2001-06,2761,
2001-07,4582,
2001-08,2441,
2001-09,3023,
2001-10,3462,
2001-11,4589,
2001-12,2394,
2002-01,3824,
2002-02,5288,
2002-03,5224,
2002-04,4037,
2002-05,3230,
2002-06,3301,
2002-07,3338,
2002-08,4635,
2002-09,4005,
2002-10,3733,
2002-11,5276,
2002-12,4379,
2003-01,3199,
2003-02,4172,
2003-03,3845,
2003-04,4018,
2003-05,4063,
2003-06,3386,
2003-07,3505,
2003-08,4460,
2003-09,5018,
2003-10,4069,
2003-11,2704,
2003-12,3862,
2004-01,3608,
2004-02,4116,
2004-03,2968,
2004-04,4135,
2004-05,2949,
2004-06,4407,
2004-07,3947,
2004-08,3667,
2004-09,4478,
2004-10,3330,
2004-11,4293,
2004-12,3920,
2005-01,4021,
2005-02,3955,
2005-03,3408,
2005-04,3473,
2005-05,3929,
2005-06,3693,
2005-07,3686,
2005-08,2721,
2005-09,4248,
2005-10,4435,
2005-11,4653,
2005-12,4066,
2006-01,3851,
2006-02,3544,
2006-03,3544,
2006-04,2987,
2006-05,2969,
2006-06,3241,
2006-07,3001,
2006-08,3166,
2006-09,2999,
2006-10,4325,
2006-11,3406,
2006-12,3308,
2007-01,2962,
2007-02,2837,
2007-03,2021,
2007-04,2482,
2007-05,2916,
2007-06,1823,
2007-07,2922,
2007-08,3051,
2007-09,2769,
2007-10,2440,
2007-11,3273,
2007-12,3020,
2008-01,2661,
2008-02,1949,
2008-03,2002,
2008-04,1573,
2008-05,1693,
2008-06,2411,
2008-07,2189,
2008-08,2461,
2008-09,1926,
2008-10,2125,
2008-11,2299,
2008-12,1,
2009-01,110,
2009-02,1,
2009-03,1,
2009-04,1,
2009-05,1,
2009-06,1,
2009-07,319,
2009-08,93,
2009-09,1,
2009-10,1,
2009-11,1,
2009-12,4,
2010-01,1934,
2010-02,3369,
2010-03,1,
2010-04,519,
2010-05,2534,
2010-06,1492,
2010-07,2227,
2010-08,2871,
2010-09,2822,
2010-10,2375,
2010-11,1463,
2010-12,2153,
2011-01,256,
2011-02,796,
2011-03,1162,
2011-04,2100,
2011-05,1684,
2011-06,1945,
2011-07,2006,
2011-08,1178,
2011-09,2104,
2011-10,558,
2011-11,1394,
2011-12,991,
2012-01,2277,
2012-02,678,
2012-03,993,
2012-04,1244,
2012-05,985,
2012-06,1431,
2012-07,1597,
2012-08,1595,
2012-09,1138,
2012-10,944,
2012-11,910,
2012-12,77,
2013-01,1410,
2013-02,1669,
2013-03,85,
2013-04,1132,
2013-05,1077,
2013-06,-,Nothing exists
2013-07,-,Nothing exists
2013-08,-,Nothing exists
2013-09,148,
2013-10,367,
2013-11,110,
2013-12,-,Nothing exists
2014-01,-,Nothing exists
2014-02,-,Nothing exists
2014-03,-,Nothing exists
2014-04,-,Nothing exists
2014-05,150,
2014-06,183,
2014-07,890,
2014-08,751,
2014-09,-,Nothing exists
2014-10,870,
2014-11,240,
2014-12,330,
2015-01,1150,
