"",BBK01.OEBJ03K,BBK01.OEBJ03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:17,
2002-01,3.913,
2002-04,3.838,
2002-07,3.892,
2002-10,4.474,
2003-01,4.047,
2003-04,4.007,
2003-07,4.708,
2003-10,4.693,
2004-01,4.075,
2004-04,3.946,
2004-07,4.019,
2004-10,4.499,
2005-01,3.147,
2005-04,3.135,
2005-07,3.227,
2005-10,3.598,
2006-01,3.737,
2006-04,4.378,
2006-07,4.164,
2006-10,4.260,
2007-01,5.352,
2007-04,5.358,
2007-07,5.581,
2007-10,6.275,
2008-01,6.000,
2008-04,6.394,
2008-07,6.774,
2008-10,6.304,
2009-01,6.234,
2009-04,6.186,
2009-07,5.291,
2009-10,5.499,
2010-01,5.573,
2010-04,5.643,
2010-07,5.965,
2010-10,6.894,
2011-01,6.165,
2011-04,6.314,
2011-07,6.475,
2011-10,6.629,
2012-01,6.702,
2012-04,6.664,
2012-07,6.564,
2012-10,6.456,
2013-01,6.525,
2013-04,5.549,
2013-07,5.045,
2013-10,5.351,
2014-01,5.432,
2014-04,5.275,
2014-07,5.310,
