"",BBEX3.M.VUV.USD.CA.AA.A01,BBEX3.M.VUV.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Vanuatu / USD 1 = VUV ... (buying),
unit,VUV (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:22:10,
1990-01,115.34,
1990-02,118.41,
1990-03,119.55,
1990-04,119.25,
1990-05,119.45,
1990-06,118.60,
1990-07,117.26,
1990-08,113.35,
1990-09,112.87,
1990-10,115.34,
1990-11,113.60,
1990-12,109.64,
1991-01,107.59,
1991-02,107.93,
1991-03,110.66,
1991-04,110.66,
1991-05,111.81,
1991-06,112.58,
1991-07,112.83,
1991-08,112.58,
1991-09,110.71,
1991-10,111.06,
1991-11,108.91,
1991-12,109.66,
1992-01,111.18,
1992-02,107.93,
1992-03,110.73,
1992-04,111.26,
1992-05,110.77,
1992-06,110.25,
1992-07,110.36,
1992-08,111.32,
1992-09,111.73,
1992-10,116.33,
1992-11,118.44,
1992-12,117.86,
1993-01,118.96,
1993-02,117.53,
1993-03,119.35,
1993-04,117.95,
1993-05,119.40,
1993-06,121.40,
1993-07,120.97,
1993-08,121.07,
1993-09,122.86,
1993-10,121.78,
1993-11,122.84,
1993-12,121.41,
1994-01,118.31,
1994-02,116.89,
1994-03,118.09,
1994-04,116.78,
1994-05,115.25,
1994-06,114.93,
1994-07,113.87,
1994-08,113.63,
1994-09,113.60,
1994-10,112.79,
1994-11,111.96,
1994-12,110.93,
1995-01,111.66,
1995-02,112.85,
1995-03,112.06,
1995-04,111.01,
1995-05,111.61,
1995-06,112.18,
1995-07,111.28,
1995-08,111.89,
1995-09,111.72,
1995-10,111.37,
1995-11,112.66,
1995-12,112.74,
1996-01,113.53,
1996-02,111.68,
1996-03,110.54,
1996-04,110.11,
1996-05,109.72,
1996-06,110.26,
1996-07,110.05,
1996-08,109.82,
1996-09,110.11,
1996-10,109.97,
1996-11,108.58,
1996-12,109.79,
1997-01,112.68,
1997-02,112.23,
1997-03,111.78,
1997-04,112.25,
1997-05,112.55,
1997-06,113.83,
1997-07,115.59,
1997-08,115.46,
1997-09,117.03,
1997-10,117.78,
1997-11,120.20,
1997-12,123.01,
1998-01,121.85,
1998-02,121.84,
1998-03,123.04,
1998-04,124.47,
1998-05,126.80,
1998-06,129.55,
1998-07,128.68,
1998-08,132.64,
1998-09,129.68,
1998-10,128.14,
1998-11,127.89,
1998-12,128.57,
1999-01,127.91,
1999-02,128.87,
1999-03,129.51,
1999-04,127.11,
1999-05,128.42,
1999-06,128.70,
1999-07,128.23,
1999-08,128.95,
1999-09,126.83,
1999-10,127.33,
1999-11,128.55,
1999-12,127.76,
2000-01,128.46,
2000-02,132.43,
2000-03,132.42,
2000-04,135.66,
2000-05,137.79,
2000-06,134.08,
2000-07,136.33,
2000-08,138.77,
2000-09,140.26,
2000-10,143.80,
2000-11,144.02,
2000-12,141.61,
2001-01,141.03,
2001-02,144.25,
2001-03,148.45,
2001-04,145.66,
2001-05,144.98,
2001-06,145.47,
2001-07,145.81,
2001-08,140.89,
2001-09,147.43,
2001-10,145.55,
2001-11,144.31,
2001-12,145.41,
2002-01,145.91,
2002-02,144.33,
2002-03,142.16,
2002-04,139.58,
2002-05,135.37,
2002-06,133.55,
2002-07,136.56,
2002-08,135.77,
2002-09,136.84,
2002-10,135.36,
2002-11,134.47,
2002-12,132.30,
2003-01,127.82,
2003-02,126.15,
2003-03,126.92,
2003-04,124.55,
2003-05,120.12,
2003-06,119.24,
2003-07,120.42,
2003-08,121.97,
2003-09,117.96,
2003-10,115.18,
2003-11,112.85,
2003-12,110.63,
2004-01,108.41,
2004-02,107.39,
2004-03,109.78,
2004-04,112.82,
2004-05,113.16,
2004-06,115.13,
2004-07,115.05,
2004-08,114.08,
2004-09,112.02,
2004-10,109.25,
2004-11,105.64,
2004-12,105.39,
2005-01,106.57,
2005-02,105.36,
2005-03,106.94,
2005-04,106.15,
2005-05,108.02,
2005-06,108.57,
2005-07,109.31,
2005-08,109.49,
2005-09,109.02,
2005-10,108.76,
2005-11,110.56,
2005-12,111.20,
2006-01,106.13,
2006-02,105.18,
2006-03,106.77,
2006-04,110.20,
2006-05,108.90,
2006-06,111.33,
2006-07,109.66,
2006-08,108.93,
2006-09,109.28,
2006-10,107.78,
