"",BBK01.CEBB0X,BBK01.CEBB0X_FLAGS
"",Long-term debt securities debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:17,
1991-01,84.6,
1991-04,91.7,
1991-07,96.5,
1991-10,96.3,
1992-01,102.0,
1992-04,105.4,
1992-07,101.2,
1992-10,102.4,
1993-01,108.0,
1993-04,115.2,
1993-07,120.3,
1993-10,126.1,
1994-01,128.7,
1994-04,131.5,
1994-07,132.3,
1994-10,136.3,
1995-01,138.9,
1995-04,142.4,
1995-07,153.7,
1995-10,161.5,
1996-01,168.6,
1996-04,178.1,
1996-07,185.2,
1996-10,191.8,
1997-01,202.4,
1997-04,219.2,
1997-07,226.3,
1997-10,228.9,
1998-01,246.6,
1998-04,256.5,
1998-07,263.8,
1998-10,268.7,
1999-01,287.0,
1999-04,295.8,
1999-07,296.9,
1999-10,304.1,
2000-01,316.3,
2000-04,314.1,
2000-07,319.7,
2000-10,319.7,
2001-01,333.3,
2001-04,334.1,
2001-07,340.5,
2001-10,346.7,
2002-01,352.1,
2002-04,355.7,
2002-07,375.0,
2002-10,384.2,
2003-01,402.1,
2003-04,422.6,
2003-07,428.4,
2003-10,422.2,
2004-01,431.5,
2004-04,428.0,
2004-07,436.8,
2004-10,437.0,
2005-01,443.8,
2005-04,462.1,
2005-07,471.9,
2005-10,467.0,
2006-01,466.5,
2006-04,477.4,
2006-07,490.8,
2006-10,485.5,
2007-01,494.3,
2007-04,482.2,
2007-07,475.9,
2007-10,471.6,
2008-01,472.1,
2008-04,465.1,
2008-07,468.8,
2008-10,474.6,
2009-01,486.7,
2009-04,515.3,
2009-07,554.6,
2009-10,566.3,
2010-01,585.0,
2010-04,612.6,
2010-07,629.3,
2010-10,607.2,
2011-01,597.9,
2011-04,599.8,
2011-07,593.2,
2011-10,596.2,
2012-01,620.8,
2012-04,637.4,
2012-07,667.9,
2012-10,682.4,
2013-01,690.3,
2013-04,687.4,
2013-07,693.1,
2013-10,703.0,
2014-01,734.1,
