"",BBK01.OEAH43J,BBK01.OEAH43J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:10,
2002-01,0.854,
2002-04,0.858,
2002-07,0.860,
2002-10,0.919,
2003-01,0.846,
2003-04,0.848,
2003-07,0.824,
2003-10,0.866,
2004-01,0.831,
2004-04,0.838,
2004-07,0.970,
2004-10,0.860,
2005-01,0.838,
2005-04,0.851,
2005-07,0.801,
2005-10,0.825,
2006-01,0.814,
2006-04,0.806,
2006-07,0.807,
2006-10,0.865,
2007-01,0.871,
2007-04,0.934,
2007-07,0.952,
2007-10,1.016,
2008-01,0.986,
2008-04,1.028,
2008-07,1.062,
2008-10,1.220,
2009-01,1.188,
2009-04,1.148,
2009-07,1.160,
2009-10,1.153,
2010-01,1.146,
2010-04,1.136,
2010-07,1.116,
2010-10,1.150,
2011-01,1.126,
2011-04,1.118,
2011-07,1.153,
2011-10,1.161,
2012-01,1.215,
2012-04,1.278,
2012-07,1.291,
2012-10,1.312,
2013-01,1.356,
2013-04,1.387,
2013-07,1.418,
2013-10,1.443,
2014-01,1.479,
2014-04,1.479,
2014-07,1.541,
