"",BBK01.OEYB17N,BBK01.OEYB17N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:32,
2002-01,19.760,
2002-04,19.947,
2002-07,20.106,
2002-10,20.992,
2003-01,20.861,
2003-04,17.926,
2003-07,18.106,
2003-10,16.979,
2004-01,16.939,
2004-04,17.832,
2004-07,17.929,
2004-10,17.925,
2005-01,17.778,
2005-04,17.587,
2005-07,16.952,
2005-10,18.478,
2006-01,24.601,
2006-04,24.622,
2006-07,25.500,
2006-10,25.629,
2007-01,25.278,
2007-04,25.099,
2007-07,25.214,
2007-10,25.189,
2008-01,25.413,
2008-04,25.191,
2008-07,20.033,
2008-10,20.200,
2009-01,19.950,
2009-04,19.652,
2009-07,19.589,
2009-10,19.460,
2010-01,19.263,
2010-04,19.078,
2010-07,19.148,
2010-10,19.065,
2011-01,18.899,
2011-04,18.876,
2011-07,18.863,
2011-10,18.737,
2012-01,18.864,
2012-04,18.689,
2012-07,18.509,
2012-10,18.972,
2013-01,18.676,
2013-04,18.377,
2013-07,18.137,
2013-10,17.945,
2014-01,17.566,
2014-04,17.150,
2014-07,17.285,
