"",BBSF2.M.1.S.00000.GEF01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEF01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Deposits and loan claims,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:01,
2009-09,15622,
2009-10,15349,
2009-11,14133,
2009-12,12169,
2010-01,12874,
2010-02,13133,
2010-03,10187,
2010-04,10527,
2010-05,12180,
2010-06,10640,
2010-07,11312,
2010-08,10959,
2010-09,11197,
2010-10,10766,
2010-11,10332,
2010-12,9568,
2011-01,10310,
2011-02,9726,
2011-03,9795,
2011-04,9890,
2011-05,9511,
2011-06,10231,
2011-07,11546,
2011-08,13152,
2011-09,14270,
2011-10,13137,
2011-11,13520,
2011-12,12384,
2012-01,12276,
2012-02,10927,
2012-03,11151,
2012-04,11762,
2012-05,11993,
2012-06,11749,
2012-07,12241,
2012-08,12273,
2012-09,12592,
2012-10,11864,
2012-11,12656,
2012-12,12486,
2013-01,13851,
2013-02,12683,
2013-03,10985,
2013-04,10948,
2013-05,10303,
2013-06,13219,
2013-07,12028,
2013-08,11584,
2013-09,11915,
2013-10,12743,
2013-11,10668,
2013-12,11166,
2014-01,11838,
2014-02,11722,
2014-03,11433,
2014-04,12042,
2014-05,12201,
2014-06,12406,
2014-07,12232,
2014-08,10571,
2014-09,10288,
2014-10,10973,
2014-11,10878,
