"",BBK01.OEHJ03O,BBK01.OEHJ03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:28,
2002-01,0.898,
2002-04,0.931,
2002-07,0.918,
2002-10,1.020,
2003-01,0.897,
2003-04,0.859,
2003-07,0.955,
2003-10,1.043,
2004-01,0.953,
2004-04,0.874,
2004-07,0.953,
2004-10,0.950,
2005-01,0.938,
2005-04,0.927,
2005-07,0.958,
2005-10,1.071,
2006-01,1.026,
2006-04,1.128,
2006-07,1.211,
2006-10,1.219,
2007-01,1.208,
2007-04,1.253,
2007-07,1.352,
2007-10,1.479,
2008-01,1.289,
2008-04,1.326,
2008-07,1.422,
2008-10,1.441,
2009-01,1.122,
2009-04,0.965,
2009-07,0.937,
2009-10,0.959,
2010-01,0.784,
2010-04,0.743,
2010-07,0.789,
2010-10,0.839,
2011-01,0.862,
2011-04,0.942,
2011-07,1.097,
2011-10,1.022,
2012-01,0.946,
2012-04,0.995,
2012-07,0.858,
2012-10,0.797,
2013-01,0.659,
2013-04,0.630,
2013-07,0.593,
2013-10,0.632,
2014-01,0.540,
2014-04,0.604,
2014-07,0.607,
