"",BBK01.OEAA19O,BBK01.OEAA19O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:32,
2002-01,5.703,
2002-04,5.324,
2002-07,5.453,
2002-10,5.383,
2003-01,5.582,
2003-04,5.232,
2003-07,5.394,
2003-10,4.711,
2004-01,5.278,
2004-04,4.617,
2004-07,4.597,
2004-10,4.272,
2005-01,5.803,
2005-04,5.667,
2005-07,5.680,
2005-10,5.166,
2006-01,5.673,
2006-04,5.640,
2006-07,5.776,
2006-10,5.496,
2007-01,5.822,
2007-04,5.933,
2007-07,7.144,
2007-10,6.495,
2008-01,6.524,
2008-04,6.596,
2008-07,6.221,
2008-10,5.589,
2009-01,5.556,
2009-04,5.231,
2009-07,5.089,
2009-10,5.024,
2010-01,5.121,
2010-04,5.391,
2010-07,5.516,
2010-10,5.668,
2011-01,5.683,
2011-04,5.743,
2011-07,5.696,
2011-10,5.625,
2012-01,5.846,
2012-04,5.969,
2012-07,5.737,
2012-10,5.622,
2013-01,6.039,
2013-04,5.899,
2013-07,6.194,
2013-10,5.997,
2014-01,6.217,
2014-04,6.004,
2014-07,5.912,
