"",BBFB1.Q.N.DE.AU.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.AU.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Australia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:43,
1991-01,23.311,
1991-04,4.918,
1991-07,50.746,
1991-10,12.063,
1992-01,-10.004,
1992-04,-0.868,
1992-07,7.753,
1992-10,16.567,
1993-01,-8.704,
1993-04,51.364,
1993-07,1.627,
1993-10,-0.704,
1994-01,67.327,
1994-04,104.001,
1994-07,57.177,
1994-10,83.912,
1995-01,7.553,
1995-04,-0.644,
1995-07,28.310,
1995-10,55.006,
1996-01,87.981,
1996-04,33.094,
1996-07,87.285,
1996-10,152.178,
1997-01,193.107,
1997-04,56.022,
1997-07,89.138,
1997-10,15.170,
1998-01,181.576,
1998-04,109.288,
1998-07,3.912,
1998-10,10.254,
1999-01,103.519,
1999-04,363.409,
1999-07,-9.033,
1999-10,-181.719,
2000-01,279.987,
2000-04,144.504,
2000-07,1727.870,
2000-10,110.339,
2001-01,51.325,
2001-04,-28.444,
2001-07,-69.336,
2001-10,209.159,
2002-01,-652.266,
2002-04,346.687,
2002-07,428.772,
2002-10,241.995,
2003-01,-67.652,
2003-04,-190.191,
2003-07,91.896,
2003-10,39.689,
2004-01,406.029,
2004-04,-363.811,
2004-07,204.693,
2004-10,703.773,
2005-01,145.849,
2005-04,266.418,
2005-07,48.604,
2005-10,-1474.028,
2006-01,-53.581,
2006-04,-122.133,
2006-07,-332.376,
2006-10,43.481,
2007-01,-150.528,
2007-04,-72.589,
2007-07,781.658,
2007-10,491.415,
2008-01,-195.764,
2008-04,-16.779,
2008-07,163.988,
2008-10,1168.896,
2009-01,631.789,
2009-04,123.443,
2009-07,-210.067,
2009-10,39.242,
2010-01,15.644,
2010-04,235.465,
2010-07,272.403,
2010-10,781.660,
2011-01,-960.450,
2011-04,375.646,
2011-07,-148.614,
2011-10,-500.161,
2012-01,54.963,
2012-04,162.626,
2012-07,1287.137,
2012-10,116.169,
2013-01,-80.440,
2013-04,-530.360,
2013-07,322.110,
2013-10,47.179,
2014-01,-5.542,Provisional value
2014-04,71.188,Provisional value
2014-07,-351.529,Provisional value
2014-10,403.537,Provisional value
