"",BBSF2.M.1.S.00000.GEF01.T.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEF01.T.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Net sales receipts / Not defined / Cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:45,
2004-01,-,Nothing exists
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,-,Nothing exists
2004-05,-,Nothing exists
2004-06,-,Nothing exists
2004-07,-,Nothing exists
2004-08,-,Nothing exists
2004-09,-,Nothing exists
2004-10,-,Nothing exists
2004-11,-,Nothing exists
2004-12,-,Nothing exists
2005-01,-,Nothing exists
2005-02,-,Nothing exists
2005-03,-,Nothing exists
2005-04,-,Nothing exists
2005-05,-,Nothing exists
2005-06,-,Nothing exists
2005-07,-,Nothing exists
2005-08,50,
2005-09,-,Nothing exists
2005-10,25,
2005-11,-,Nothing exists
2005-12,26,
2006-01,-,Nothing exists
2006-02,-,Nothing exists
2006-03,0,
2006-04,-,Nothing exists
2006-05,0,
2006-06,1,
2006-07,2,
2006-08,-,Nothing exists
2006-09,-,Nothing exists
2006-10,0,
2006-11,-,Nothing exists
2006-12,2,
2007-01,-,Nothing exists
2007-02,-,Nothing exists
2007-03,-,Nothing exists
2007-04,-,Nothing exists
2007-05,-,Nothing exists
2007-06,2,
2007-07,3,
2007-08,-,Nothing exists
2007-09,-,Nothing exists
2007-10,306,
2007-11,49,
2007-12,-30,
2008-01,-103,
2008-02,-,Nothing exists
2008-03,-,Nothing exists
2008-04,-,Nothing exists
2008-05,183,
2008-06,26,
2008-07,194,
2008-08,257,
2008-09,-3,
2008-10,-11,
2008-11,22,
2008-12,44,
2009-01,-2,
2009-02,21,
2009-03,-,Nothing exists
2009-04,1058,
2009-05,1490,
2009-06,-1589,
2009-07,6,
2009-08,8,
2009-09,-1,
2009-10,-3,
2009-11,-21,
2009-12,41,
2010-01,209,
2010-02,10,
2010-03,44,
2010-04,3,
2010-05,31,
2010-06,-13,
2010-07,16,
2010-08,13,
2010-09,-2,
2010-10,-24,
2010-11,112,
2010-12,4,
2011-01,194,
2011-02,18,
2011-03,-8,
2011-04,-3,
2011-05,22,
2011-06,-24,
2011-07,-4,
2011-08,-205,
2011-09,-11,
2011-10,10,
2011-11,16,
2011-12,-62,
2012-01,128,
2012-02,4,
2012-03,60,
2012-04,-2,
2012-05,-7,
2012-06,39,
2012-07,29,
2012-08,19,
2012-09,21,
2012-10,-19,
2012-11,9,
2012-12,-699,
2013-01,5,
2013-02,8,
2013-03,41,
2013-04,14,
2013-05,145,
2013-06,0,
2013-07,418,
2013-08,27,
2013-09,-106,
2013-10,15,
2013-11,16,
2013-12,26,
2014-01,14,
2014-02,4,
2014-03,14,
2014-04,107,
2014-05,300,
2014-06,7,
2014-07,-1,
2014-08,-416,
2014-09,765,
2014-10,394,
2014-11,-5,
