"",BBFN1.M.DE.N.1.L.EE.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.EE.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Estonia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:40,
1995-01,0.001,
1995-02,0.001,
1995-03,-,Nothing exists
1995-04,-,Nothing exists
1995-05,0.000,
1995-06,0.000,
1995-07,0.000,
1995-08,0.000,
1995-09,0.000,
1995-10,0.000,
1995-11,0.000,
1995-12,0.000,
1996-01,0.000,
1996-02,0.000,
1996-03,0.000,
1996-04,0.000,
1996-05,0.000,
1996-06,0.000,
1996-07,0.000,
1996-08,0.000,
1996-09,0.000,
1996-10,0.000,
1996-11,0.000,
1996-12,0.000,
1997-01,0.000,
1997-02,0.000,
1997-03,0.000,
1997-04,0.000,
1997-05,0.000,
1997-06,0.000,
1997-07,0.000,
1997-08,0.000,
1997-09,0.000,
1997-10,0.000,
1997-11,0.000,
1997-12,0.000,
1998-01,0.000,
1998-02,0.000,
1998-03,0.000,
1998-04,0.000,
1998-05,0.000,
1998-06,0.000,
1998-07,0.000,
1998-08,0.000,
1998-09,0.000,
1998-10,0.000,
1998-11,0.000,
1998-12,0.000,
1999-01,0.000,
1999-02,0.000,
1999-03,0.000,
1999-04,0.000,
1999-05,0.000,
1999-06,0.000,
1999-07,0.000,
1999-08,0.000,
1999-09,0.000,
1999-10,0.000,
1999-11,0.000,
1999-12,0.000,
2000-01,0.000,
2000-02,0.000,
2000-03,0.000,
2000-04,0.000,
2000-05,0.000,
2000-06,0.000,
2000-07,0.000,
2000-08,0.000,
2000-09,0.005,
2000-10,0.000,
2000-11,0.000,
2000-12,0.000,
2001-01,0.000,
2001-02,0.000,
2001-03,0.000,
2001-04,0.000,
2001-05,0.002,
2001-06,0.002,
2001-07,0.003,
2001-08,0.008,
2001-09,0.006,
2001-10,0.006,
2001-11,0.007,
2001-12,0.007,
2002-01,0.001,
2002-02,0.006,
2002-03,0.005,
2002-04,0.004,
2002-05,0.004,
2002-06,0.004,
2002-07,0.004,
2002-08,0.005,
2002-09,0.003,
2002-10,0.003,
2002-11,0.003,
2002-12,0.001,
2003-01,0.002,
2003-02,0.001,
2003-03,0.002,
2003-04,0.001,
2003-05,0.001,
2003-06,0.001,
2003-07,0.002,
2003-08,0.001,
2003-09,0.001,
2003-10,0.000,
2003-11,0.006,
2003-12,0.005,
2004-01,0.007,
2004-02,0.006,
2004-03,0.006,
2004-04,0.004,
2004-05,0.004,
2004-06,0.004,
2004-07,0.004,
2004-08,0.004,
2004-09,0.005,
2004-10,0.007,
2004-11,0.006,
2004-12,0.005,
2005-01,0.005,
2005-02,0.013,
2005-03,0.006,
2005-04,0.004,
2005-05,0.010,
2005-06,0.008,
2005-07,0.008,
2005-08,0.009,
2005-09,0.012,
2005-10,0.012,
2005-11,0.013,
2005-12,0.016,
2006-01,0.016,
2006-02,0.046,
2006-03,0.052,
2006-04,0.050,
2006-05,0.049,
2006-06,0.048,
2006-07,0.059,
2006-08,0.059,
2006-09,0.063,
2006-10,0.060,
2006-11,0.062,
2006-12,0.108,
2007-01,0.099,
2007-02,0.073,
2007-03,0.080,
2007-04,0.077,
2007-05,0.079,
2007-06,0.082,
2007-07,0.085,
2007-08,0.091,
2007-09,0.130,
2007-10,0.141,
2007-11,0.146,
2007-12,0.152,
2008-01,0.142,
2008-02,0.143,
2008-03,0.090,
2008-04,0.096,
2008-05,0.099,
2008-06,0.104,
2008-07,0.106,
2008-08,0.107,
2008-09,0.113,
2008-10,0.136,
2008-11,0.144,
2008-12,0.132,
2009-01,0.133,
2009-02,0.150,
2009-03,0.141,
2009-04,0.136,
2009-05,0.127,
2009-06,0.131,
2009-07,0.156,
2009-08,0.160,
2009-09,0.166,
2009-10,0.169,
2009-11,0.167,
2009-12,0.172,
2010-01,0.172,
2010-02,0.170,
2010-03,0.175,
2010-04,0.178,
2010-05,0.177,
2010-06,0.183,
2010-07,0.170,
2010-08,0.172,
2010-09,0.177,
2010-10,0.179,
2010-11,0.180,
2010-12,0.188,
2011-01,0.196,
2011-02,0.190,
2011-03,0.196,
2011-04,0.184,
2011-05,0.188,
2011-06,0.200,
2011-07,0.194,
2011-08,0.198,
2011-09,0.209,
2011-10,0.219,
2011-11,0.218,
2011-12,0.223,
2012-01,0.214,
2012-02,0.209,
2012-03,0.215,
2012-04,0.219,
2012-05,0.214,
2012-06,0.222,
2012-07,0.219,
2012-08,0.219,
2012-09,0.233,
2012-10,0.216,
2012-11,0.227,
2012-12,0.234,
2013-01,0.228,
2013-02,0.226,
2013-03,0.233,
2013-04,0.240,
2013-05,0.242,
2013-06,0.245,
2013-07,0.244,
2013-08,0.247,
2013-09,0.251,
2013-10,0.257,
2013-11,0.258,
2013-12,0.261,
2014-01,0.174,
2014-02,0.249,
2014-03,0.246,
2014-04,0.233,
2014-05,0.234,
2014-06,0.242,
2014-07,0.243,
2014-08,0.247,
2014-09,0.253,
2014-10,0.256,
2014-11,0.255,
2014-12,0.263,
