"",BBK01.OEAH45P,BBK01.OEAH45P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:40,
2002-01,0.383,
2002-04,0.355,
2002-07,0.334,
2002-10,0.307,
2003-01,0.335,
2003-04,0.334,
2003-07,0.319,
2003-10,0.269,
2004-01,0.270,
2004-04,0.270,
2004-07,0.271,
2004-10,0.263,
2005-01,0.270,
2005-04,0.265,
2005-07,0.265,
2005-10,0.244,
2006-01,0.261,
2006-04,0.253,
2006-07,0.264,
2006-10,0.269,
2007-01,0.277,
2007-04,0.281,
2007-07,0.289,
2007-10,0.324,
2008-01,0.331,
2008-04,0.319,
2008-07,0.380,
2008-10,0.410,
2009-01,0.357,
2009-04,0.329,
2009-07,0.329,
2009-10,0.297,
2010-01,0.245,
2010-04,0.268,
2010-07,0.254,
2010-10,0.256,
2011-01,0.251,
2011-04,0.269,
2011-07,0.245,
2011-10,0.260,
2012-01,0.263,
2012-04,0.256,
2012-07,0.249,
2012-10,0.241,
2013-01,0.227,
2013-04,0.217,
2013-07,0.211,
2013-10,0.209,
2014-01,0.216,
2014-04,0.213,
2014-07,0.211,
