"",BBK01.OEYB02H,BBK01.OEYB02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:29,
2002-01,17.622,
2002-04,16.505,
2002-07,18.837,
2002-10,17.379,
2003-01,16.535,
2003-04,14.240,
2003-07,14.302,
2003-10,15.851,
2004-01,18.423,
2004-04,13.998,
2004-07,16.228,
2004-10,15.533,
2005-01,13.684,
2005-04,14.986,
2005-07,14.907,
2005-10,11.988,
2006-01,15.308,
2006-04,14.716,
2006-07,16.171,
2006-10,12.425,
2007-01,16.695,
2007-04,16.157,
2007-07,19.070,
2007-10,19.570,
2008-01,25.195,
2008-04,24.609,
2008-07,25.838,
2008-10,19.854,
2009-01,23.790,
2009-04,19.253,
2009-07,17.283,
2009-10,10.809,
2010-01,12.935,
2010-04,15.417,
2010-07,15.183,
2010-10,76.479,
2011-01,51.121,
2011-04,35.218,
2011-07,25.469,
2011-10,17.676,
2012-01,15.328,
2012-04,15.987,
2012-07,17.207,
2012-10,16.677,
2013-01,14.312,
2013-04,11.586,
2013-07,12.841,
2013-10,12.736,
2014-01,13.596,
2014-04,12.981,
2014-07,13.460,
