"",BBFB1.Q.N.DE.SG.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.SG.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Singapore,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:19,
1991-01,-453.072,
1991-04,-359.819,
1991-07,234.339,
1991-10,314.817,
1992-01,296.646,
1992-04,217.621,
1992-07,1236.349,
1992-10,375.099,
1993-01,459.707,
1993-04,-123.573,
1993-07,-112.078,
1993-10,795.933,
1994-01,-102.073,
1994-04,-603.972,
1994-07,711.770,
1994-10,-343.997,
1995-01,718.064,
1995-04,560.971,
1995-07,85.110,
1995-10,473.431,
1996-01,-646.935,
1996-04,2.421,
1996-07,-761.244,
1996-10,33.165,
1997-01,195.232,
1997-04,156.419,
1997-07,596.270,
1997-10,-896.677,
1998-01,290.119,
1998-04,-621.638,
1998-07,454.000,
1998-10,720.036,
1999-01,22.419,
1999-04,-77.594,
1999-07,1235.945,
1999-10,-300.869,
2000-01,-1346.040,
2000-04,-261.855,
2000-07,243.685,
2000-10,144.341,
2001-01,-209.961,
2001-04,556.933,
2001-07,-97.146,
2001-10,-120.364,
2002-01,455.618,
2002-04,108.877,
2002-07,421.595,
2002-10,822.769,
2003-01,700.958,
2003-04,241.025,
2003-07,970.723,
2003-10,528.390,
2004-01,804.385,
2004-04,239.400,
2004-07,46.762,
2004-10,83.679,
2005-01,-157.757,
2005-04,-360.556,
2005-07,-211.121,
2005-10,-0.233,
2006-01,359.749,
2006-04,3.671,
2006-07,-72.020,
2006-10,785.749,
2007-01,115.616,
2007-04,86.084,
2007-07,-196.021,
2007-10,335.448,
2008-01,-270.099,
2008-04,-88.787,
2008-07,75.398,
2008-10,-57.800,
2009-01,249.792,
2009-04,49.076,
2009-07,93.474,
2009-10,645.869,
2010-01,-470.258,
2010-04,-35.002,
2010-07,115.095,
2010-10,-167.634,
2011-01,362.491,
2011-04,273.097,
2011-07,-255.128,
2011-10,114.456,
2012-01,184.428,
2012-04,265.626,
2012-07,55.290,
2012-10,903.919,
2013-01,965.311,
2013-04,239.554,
2013-07,750.946,
2013-10,227.184,
2014-01,254.059,Provisional value
2014-04,220.549,Provisional value
2014-07,593.275,Provisional value
2014-10,-105.272,Provisional value
