"",BBK01.TQ7005I,BBK01.TQ7005I_FLAGS
"",Deposit takers - Sectoral distribution of loans to total loans - Other domestic sector                FSI-I005,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:24,
2005-10,28.54,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,27.63,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,25.58,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,24.41,
2009-01,24.96,
2009-04,25.04,
2009-07,26.01,
2009-10,26.27,
2010-01,26.06,
2010-04,25.26,
2010-07,26.28,
2010-10,26.22,
2011-01,26.72,
2011-04,26.91,
2011-07,25.96,
2011-10,26.18,
2012-01,25.17,
2012-04,25.23,
2012-07,25.64,
2012-10,26.77,
2013-01,27.01,
2013-04,27.36,
2013-07,27.99,
2013-10,28.54,
2014-01,28.46,
2014-04,28.42,
2014-07,28.35,
