"",BBK01.XU8857,BBK01.XU8857_FLAGS
"",Germany / Imports / Product Classification for Production Statistics from 2002 / vehicles / 1 / 2 /,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:54,
1995-01,1999684,
1995-02,2539192,
1995-03,2795102,
1995-04,2410864,
1995-05,2654817,
1995-06,2582463,
1995-07,2141305,
1995-08,1721751,
1995-09,2314873,
1995-10,2632033,
1995-11,2868885,
1995-12,2665785,
1996-01,2528931,
1996-02,2871982,
1996-03,3178923,
1996-04,3238401,
1996-05,2889209,
1996-06,2679346,
1996-07,2703180,
1996-08,1671399,
1996-09,2812119,
1996-10,3326994,
1996-11,3134599,
1996-12,2738081,
1997-01,2804267,
1997-02,3019445,
1997-03,2974396,
1997-04,3492155,
1997-05,3198329,
1997-06,3431979,
1997-07,3090642,
1997-08,2364263,
1997-09,3203164,
1997-10,3559080,
1997-11,2982614,
1997-12,3521839,
1998-01,2933565,
1998-02,3169418,
1998-03,3436501,
1998-04,3909551,
1998-05,3318446,
1998-06,4124728,
1998-07,3324608,
1998-08,2599551,
1998-09,3742409,
1998-10,3948780,
1998-11,4147100,
1998-12,3443985,
1999-01,3322040,
1999-02,3383511,
1999-03,4136768,
1999-04,4291661,
1999-05,4011114,
1999-06,4279209,
1999-07,3560324,
1999-08,3348375,
1999-09,3890000,
1999-10,3563392,
1999-11,4035202,
1999-12,4225745,
2000-01,3177084,
2000-02,3802069,
2000-03,4931796,
2000-04,3851839,
2000-05,4881904,
2000-06,4155815,
2000-07,3996288,
2000-08,3113593,
2000-09,3826532,
2000-10,4610767,
2000-11,4602995,
2000-12,4175502,
2001-01,3953194,
2001-02,4422138,
2001-03,4522316,
2001-04,4433467,
2001-05,4674818,
2001-06,4656440,
2001-07,4373176,
2001-08,3809131,
2001-09,4031796,
2001-10,4706365,
2001-11,4743264,
2001-12,4207058,
2002-01,3910204,
2002-02,4236358,
2002-03,4474278,
2002-04,4681110,
2002-05,4484489,
2002-06,5370081,
2002-07,5115370,
2002-08,3802766,
2002-09,4858855,
2002-10,5379957,
2002-11,5165810,
2002-12,4351802,
2003-01,4345968,
2003-02,4607383,
2003-03,5236594,
2003-04,5142656,
2003-05,4910710,
2003-06,5350096,
2003-07,5379547,
2003-08,3627240,
2003-09,5343719,
2003-10,5484320,
2003-11,5471437,
2003-12,4561299,
2004-01,4611916,
2004-02,4862154,
2004-03,5644919,
2004-04,5385773,
2004-05,5591362,
2004-06,4990570,
2004-07,5920687,
2004-08,4081417,
2004-09,5156647,
2004-10,5299216,
2004-11,5623841,
2004-12,4935212,
2005-01,4659237,
2005-02,4948106,
2005-03,5549729,
2005-04,5813886,
2005-05,5663685,
2005-06,6580002,
2005-07,5048943,
2005-08,4721236,
2005-09,6150622,
2005-10,5921613,
2005-11,5768738,
2005-12,5487862,
2006-01,5077404,
2006-02,5825740,
2006-03,6445236,
2006-04,5882824,
2006-05,6119300,
2006-06,6432346,
2006-07,5914670,
2006-08,4871575,
2006-09,6740778,
2006-10,6821173,
2006-11,6857461,
2006-12,6239017,
2007-01,5919097,
2007-02,6142118,
2007-03,7195440,
2007-04,6391740,
2007-05,6940334,
2007-06,6900494,
2007-07,6455581,
2007-08,5940460,
2007-09,6865185,
2007-10,7597276,
2007-11,7052659,
2007-12,5483854,
"","General: 1 motor vehicles, trailers and semi-trailers. 2 Source: Federal Statistical Office.",
