"",BBK01.OXA7A8,BBK01.OXA7A8_FLAGS
"",Consumer credit to employees and other individuals - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:07,
2010-06,159.239,
2010-07,159.152,
2010-08,159.404,
2010-09,159.524,
2010-10,159.233,
2010-11,158.863,
2010-12,158.278,
2011-01,157.230,
2011-02,155.858,
2011-03,156.676,
2011-04,157.211,
2011-05,158.009,
2011-06,157.381,
2011-07,156.694,
2011-08,159.741,
2011-09,160.664,
2011-10,160.516,
2011-11,158.629,
2011-12,158.459,
2012-01,157.811,
2012-02,157.271,
2012-03,157.298,
2012-04,157.677,
2012-05,157.878,
2012-06,156.088,
2012-07,156.889,
2012-08,156.304,
2012-09,155.499,
2012-10,155.420,
2012-11,152.664,
2012-12,151.953,
2013-01,150.791,
2013-02,149.574,
2013-03,149.729,
2013-04,150.598,
2013-05,150.785,
2013-06,151.114,
2013-07,150.764,
2013-08,151.064,
2013-09,149.876,
2013-10,149.513,
2013-11,147.677,
2013-12,149.218,
2014-01,148.552,
2014-02,148.030,
2014-03,149.484,
2014-04,149.616,
2014-05,148.020,
2014-06,149.363,
2014-07,149.486,
2014-08,148.885,
2014-09,149.910,
2014-10,150.207,
2014-11,147.069,
2014-12,148.044,Provisional value
