"",BBSF2.M.1.T.00000.TOT01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Number outstanding,
unit,Stueck (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:20,
1970-01,232225,
1970-02,237633,
1970-03,242291,
1970-04,245799,
1970-05,246837,
1970-06,251656,
1970-07,255345,
1970-08,261164,
1970-09,264158,
1970-10,265741,
1970-11,269755,
1970-12,274376,
1971-01,278855,
1971-02,283405,
1971-03,287147,
1971-04,290031,
1971-05,292443,
1971-06,295070,
1971-07,297588,
1971-08,300742,
1971-09,303103,
1971-10,307051,
1971-11,312340,
1971-12,317877,
1972-01,325160,
1972-02,335318,
1972-03,342793,
1972-04,353098,
1972-05,358079,
1972-06,367267,
1972-07,376696,
1972-08,388088,
1972-09,394966,
1972-10,402435,
1972-11,413037,
1972-12,422396,
1973-01,432737,
1973-02,445902,
1973-03,453009,
1973-04,459019,
1973-05,462727,
1973-06,467296,
1973-07,470169,
1973-08,475789,
1973-09,478296,
1973-10,481707,
1973-11,488676,
1973-12,491116,
1974-01,493158,
1974-02,496403,
1974-03,495600,
1974-04,495130,
1974-05,496130,
1974-06,496747,
1974-07,495771,
1974-08,500315,
1974-09,499863,
1974-10,500425,
1974-11,506553,
1974-12,515738,
1975-01,526762,
1975-02,536115,
1975-03,539222,
1975-04,543132,
1975-05,548184,
1975-06,554087,
1975-07,554317,
1975-08,562103,
1975-09,565277,
1975-10,569932,
1975-11,583161,
1975-12,590696,
1976-01,599024,
1976-02,610836,
1976-03,622321,
1976-04,630250,
1976-05,637059,
1976-06,643552,
1976-07,647741,
1976-08,663636,
1976-09,673231,
1976-10,685519,
1976-11,716468,
1976-12,738121,
1977-01,760237,
1977-02,777158,
1977-03,795735,
1977-04,813469,
1977-05,829458,
1977-06,838965,
1977-07,849657,
1977-08,879686,
1977-09,892231,
1977-10,905074,
1977-11,936251,
1977-12,960053,
