"",BBK01.OEAN04V,BBK01.OEAN04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:23,
2002-01,14.180,
2002-04,13.750,
2002-07,13.750,
2002-10,14.449,
2003-01,14.628,
2003-04,14.100,
2003-07,14.420,
2003-10,14.889,
2004-01,15.570,
2004-04,15.889,
2004-07,15.970,
2004-10,16.325,
2005-01,17.895,
2005-04,17.783,
2005-07,17.520,
2005-10,17.969,
2006-01,18.021,
2006-04,17.692,
2006-07,17.380,
2006-10,17.340,
2007-01,17.073,
2007-04,16.863,
2007-07,16.463,
2007-10,16.495,
2008-01,16.368,
2008-04,16.181,
2008-07,15.916,
2008-10,16.251,
2009-01,16.451,
2009-04,16.336,
2009-07,16.548,
2009-10,16.926,
2010-01,16.947,
2010-04,16.864,
2010-07,17.230,
2010-10,17.809,
2011-01,17.781,
2011-04,17.552,
2011-07,17.639,
2011-10,18.007,
2012-01,18.314,
2012-04,18.520,
2012-07,18.704,
2012-10,19.144,
2013-01,19.167,
2013-04,19.226,
2013-07,19.201,
2013-10,19.299,
2014-01,19.268,
2014-04,19.153,
2014-07,19.107,
