"",BBSF2.M.1.T.00000.HED01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.T.00000.HED01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Funds total / Hedgefunds / Shares / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:12,
2009-09,181,
2009-10,172,
2009-11,183,
2009-12,190,
2010-01,203,
2010-02,210,
2010-03,223,
2010-04,6844,
2010-05,3469,
2010-06,311,
2010-07,232,
2010-08,228,
2010-09,237,
2010-10,250,
2010-11,248,
2010-12,243,
2011-01,255,
2011-02,264,
2011-03,263,
2011-04,272,
2011-05,271,
2011-06,272,
2011-07,257,
2011-08,239,
2011-09,237,
2011-10,252,
2011-11,240,
2011-12,227,
2012-01,242,
2012-02,260,
2012-03,507,
2012-04,1994,
2012-05,1039,
2012-06,738,
2012-07,267,
2012-08,260,
2012-09,267,
2012-10,268,
2012-11,271,
2012-12,281,
2013-01,289,
2013-02,293,
2013-03,299,
2013-04,565,
2013-05,306,
2013-06,296,
2013-07,304,
2013-08,303,
2013-09,307,
2013-10,314,
2013-11,321,
2013-12,316,
2014-01,316,
2014-02,324,
2014-03,332,
2014-04,2513,
2014-05,357,
2014-06,364,
2014-07,357,
2014-08,364,
2014-09,354,
2014-10,357,
2014-11,378,
