"",BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.P.F3.L._T.M.N,BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.P.F3.L._T.M.N_FLAGS
"",IIP - Portfolio investment - Debt securities - Long-term original maturity (over 1 year) - Net (Assets minus Liabilities) - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:02:06,
1999-10,-265729,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,-286830,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,-275678,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,-359530,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,-366822,
2004-01,-408192,
2004-04,-402175,
2004-07,-431456,
2004-10,-436793,
2005-01,-431648,
2005-04,-474001,
2005-07,-489061,
2005-10,-472910,
2006-01,-424843,
2006-04,-358446,
2006-07,-340908,
2006-10,-329772,
2007-01,-285924,
2007-04,-322949,
2007-07,-356004,
2007-10,-413464,
2008-01,-422497,
2008-04,-378619,
2008-07,-448238,
2008-10,-533557,
2009-01,-505090,
2009-04,-426885,
2009-07,-368490,
2009-10,-325149,
2010-01,-360486,
2010-04,-440023,
2010-07,-440399,
2010-10,-325087,
2011-01,-276662,
2011-04,-337794,
2011-07,-508314,
2011-10,-519588,
2012-01,-452389,
2012-04,-486537,
2012-07,-462858,
2012-10,-438036,
2013-01,-421063,
2013-04,-334225,
2013-07,-280926,
2013-10,-232845,
2014-01,-237654,
2014-04,-227249,
2014-07,-229493,
