"",BBFN1.M.DE.N.1.A.KR.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.KR.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"","Claims of enterprises on non-residents arising from credit terms granted / Total / Korea, Republic of",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:28,
1994-07,0.483,
1994-08,0.469,
1994-09,0.524,
1994-10,0.535,
1994-11,0.542,
1994-12,0.612,
1995-01,0.598,
1995-02,0.617,
1995-03,0.624,
1995-04,0.650,
1995-05,0.641,
1995-06,0.636,
1995-07,0.620,
1995-08,0.591,
1995-09,0.607,
1995-10,0.589,
1995-11,0.629,
1995-12,0.647,
1996-01,0.548,
1996-02,0.633,
1996-03,0.629,
1996-04,0.619,
1996-05,0.649,
1996-06,0.643,
1996-07,0.638,
1996-08,0.669,
1996-09,0.673,
1996-10,0.655,
1996-11,0.697,
1996-12,0.762,
1997-01,0.697,
1997-02,0.708,
1997-03,0.723,
1997-04,0.724,
1997-05,0.709,
1997-06,0.740,
1997-07,0.700,
1997-08,0.669,
1997-09,0.651,
1997-10,0.711,
1997-11,0.740,
1997-12,0.787,
1998-01,0.772,
1998-02,0.782,
1998-03,0.837,
1998-04,0.822,
1998-05,0.832,
1998-06,0.804,
1998-07,0.811,
1998-08,0.776,
1998-09,0.739,
1998-10,0.827,
1998-11,0.813,
1998-12,0.822,
1999-01,0.802,
1999-02,0.833,
1999-03,1.019,
1999-04,1.037,
1999-05,1.035,
1999-06,0.878,
1999-07,0.862,
1999-08,0.850,
1999-09,0.873,
1999-10,0.900,
1999-11,0.819,
1999-12,0.946,
2000-01,0.916,
2000-02,0.926,
2000-03,0.926,
2000-04,0.903,
2000-05,0.910,
2000-06,0.935,
2000-07,0.905,
2000-08,0.897,
2000-09,0.961,
2000-10,0.996,
2000-11,1.005,
2000-12,0.966,
2001-01,0.970,
2001-02,0.926,
2001-03,0.910,
2001-04,0.908,
2001-05,0.905,
2001-06,0.892,
2001-07,0.848,
2001-08,0.908,
2001-09,0.858,
2001-10,0.874,
2001-11,0.895,
2001-12,1.000,
2002-01,0.924,
2002-02,0.954,
2002-03,0.953,
2002-04,0.917,
2002-05,0.960,
2002-06,0.979,
2002-07,0.978,
2002-08,0.939,
2002-09,0.953,
2002-10,0.965,
2002-11,1.037,
2002-12,1.023,
2003-01,0.949,
2003-02,0.988,
2003-03,1.053,
2003-04,0.994,
2003-05,0.960,
2003-06,0.951,
2003-07,0.979,
2003-08,0.990,
2003-09,0.972,
2003-10,1.001,
2003-11,1.019,
2003-12,1.008,
2004-01,0.992,
2004-02,1.033,
2004-03,1.003,
2004-04,0.990,
2004-05,1.054,
2004-06,1.042,
2004-07,1.048,
2004-08,0.922,
2004-09,0.985,
2004-10,1.046,
2004-11,1.030,
2004-12,0.977,
2005-01,0.978,
2005-02,0.961,
2005-03,1.078,
2005-04,1.006,
2005-05,1.094,
2005-06,1.114,
2005-07,1.083,
2005-08,1.016,
2005-09,1.093,
2005-10,1.135,
2005-11,1.102,
2005-12,1.099,
2006-01,1.121,
2006-02,1.139,
2006-03,1.271,
2006-04,1.262,
2006-05,1.229,
2006-06,1.166,
2006-07,1.229,
2006-08,1.257,
2006-09,1.239,
2006-10,1.165,
2006-11,1.231,
2006-12,1.268,
2007-01,1.278,
2007-02,1.292,
2007-03,1.280,
2007-04,1.318,
2007-05,1.268,
2007-06,1.235,
2007-07,1.283,
2007-08,1.206,
2007-09,1.269,
2007-10,1.253,
2007-11,1.393,
2007-12,1.321,
2008-01,1.326,
2008-02,1.351,
2008-03,1.370,
2008-04,1.418,
2008-05,1.349,
2008-06,1.366,
2008-07,1.380,
2008-08,1.274,
2008-09,1.340,
2008-10,1.372,
2008-11,1.459,
2008-12,1.280,
2009-01,1.219,
2009-02,1.193,
2009-03,1.175,
2009-04,1.172,
2009-05,1.191,
2009-06,1.239,
2009-07,1.341,
2009-08,1.271,
2009-09,1.349,
2009-10,1.316,
2009-11,1.448,
2009-12,1.458,
2010-01,1.340,
2010-02,1.432,
2010-03,1.580,
2010-04,1.569,
2010-05,1.552,
2010-06,1.563,
2010-07,1.724,
2010-08,1.606,
2010-09,1.603,
2010-10,1.592,
2010-11,1.568,
2010-12,1.876,
2011-01,1.819,
2011-02,1.926,
2011-03,2.120,
2011-04,2.088,
2011-05,2.044,
2011-06,1.899,
2011-07,1.929,
2011-08,1.857,
2011-09,1.806,
2011-10,1.840,
2011-11,1.851,
2011-12,1.991,
2012-01,1.954,
2012-02,2.028,
2012-03,2.029,
2012-04,2.000,
2012-05,2.027,
2012-06,2.053,
2012-07,2.171,
2012-08,2.085,
2012-09,2.062,
2012-10,2.067,
2012-11,2.046,
2012-12,2.188,
2013-01,2.093,
2013-02,1.939,
2013-03,2.032,
2013-04,1.916,
2013-05,1.851,
2013-06,1.886,
2013-07,1.897,
2013-08,1.887,
2013-09,1.887,
2013-10,1.926,
2013-11,2.015,
2013-12,1.979,
2014-01,2.084,
2014-02,2.061,
2014-03,2.161,
2014-04,2.140,
2014-05,2.100,
2014-06,2.206,
2014-07,2.242,
2014-08,2.093,
2014-09,2.091,
2014-10,2.254,
2014-11,2.319,
2014-12,2.199,
