"",BBFN1.M.DE.N.1.A.S1.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.S1.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Countries in Asia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:33,
1995-01,2.824,
1995-02,3.612,
1995-03,3.476,
1995-04,3.787,
1995-05,3.752,
1995-06,4.049,
1995-07,4.674,
1995-08,4.461,
1995-09,4.448,
1995-10,4.739,
1995-11,4.440,
1995-12,3.918,
1996-01,4.852,
1996-02,4.644,
1996-03,4.379,
1996-04,4.869,
1996-05,4.660,
1996-06,4.862,
1996-07,5.669,
1996-08,6.082,
1996-09,6.476,
1996-10,6.439,
1996-11,6.256,
1996-12,4.929,
1997-01,6.392,
1997-02,6.511,
1997-03,6.536,
1997-04,6.941,
1997-05,6.698,
1997-06,6.130,
1997-07,6.183,
1997-08,6.075,
1997-09,5.809,
1997-10,5.206,
1997-11,4.937,
1997-12,4.491,
1998-01,4.118,
1998-02,4.047,
1998-03,3.730,
1998-04,3.444,
1998-05,3.422,
1998-06,3.243,
1998-07,3.354,
1998-08,3.193,
1998-09,2.935,
1998-10,3.312,
1998-11,3.354,
1998-12,3.073,
1999-01,3.222,
1999-02,3.285,
1999-03,3.615,
1999-04,3.614,
1999-05,3.226,
1999-06,3.531,
1999-07,3.585,
1999-08,3.899,
1999-09,3.160,
1999-10,3.305,
1999-11,3.519,
1999-12,3.261,
2000-01,3.479,
2000-02,3.295,
2000-03,3.626,
2000-04,3.849,
2000-05,3.655,
2000-06,3.674,
2000-07,3.573,
2000-08,3.695,
2000-09,3.878,
2000-10,3.989,
2000-11,3.842,
2000-12,3.734,
2001-01,3.739,
2001-02,4.005,
2001-03,4.422,
2001-04,5.417,
2001-05,5.508,
2001-06,5.541,
2001-07,5.299,
2001-08,4.794,
2001-09,4.845,
2001-10,5.160,
2001-11,4.590,
2001-12,4.582,
2002-01,4.703,
2002-02,4.960,
2002-03,4.752,
2002-04,4.922,
2002-05,4.862,
2002-06,4.767,
2002-07,5.093,
2002-08,4.987,
2002-09,5.156,
2002-10,4.872,
2002-11,4.709,
2002-12,4.215,
2003-01,4.654,
2003-02,4.633,
2003-03,4.830,
2003-04,4.609,
2003-05,4.812,
2003-06,4.697,
2003-07,4.595,
2003-08,4.567,
2003-09,4.604,
2003-10,4.376,
2003-11,4.679,
2003-12,4.494,
2004-01,4.599,
2004-02,4.472,
2004-03,4.973,
2004-04,4.641,
2004-05,5.000,
2004-06,5.000,
2004-07,4.974,
2004-08,5.124,
2004-09,4.862,
2004-10,4.884,
2004-11,4.780,
2004-12,5.135,
2005-01,4.927,
2005-02,5.022,
2005-03,5.251,
2005-04,5.843,
2005-05,6.094,
2005-06,6.393,
2005-07,6.451,
2005-08,6.480,
2005-09,6.511,
2005-10,5.976,
2005-11,6.807,
2005-12,6.491,
2006-01,7.416,
2006-02,7.910,
2006-03,6.646,
2006-04,6.839,
2006-05,7.016,
2006-06,6.952,
2006-07,6.909,
2006-08,7.024,
2006-09,7.160,
2006-10,7.214,
2006-11,7.150,
2006-12,7.166,
2007-01,7.350,
2007-02,7.397,
2007-03,7.232,
2007-04,7.261,
2007-05,7.751,
2007-06,7.550,
2007-07,7.156,
2007-08,7.817,
2007-09,7.595,
2007-10,7.725,
2007-11,8.398,
2007-12,7.334,
2008-01,7.309,
2008-02,7.465,
2008-03,7.430,
2008-04,8.030,
2008-05,8.280,
2008-06,8.205,
2008-07,8.151,
2008-08,9.023,
2008-09,8.333,
2008-10,8.771,
2008-11,8.843,
2008-12,8.980,
2009-01,7.830,
2009-02,7.641,
2009-03,8.081,
2009-04,7.634,
2009-05,7.515,
2009-06,7.552,
2009-07,7.496,
2009-08,7.404,
2009-09,7.632,
2009-10,7.466,
2009-11,7.456,
2009-12,7.633,
2010-01,7.961,
2010-02,7.946,
2010-03,7.703,
2010-04,8.349,
2010-05,8.996,
2010-06,9.265,
2010-07,9.282,
2010-08,9.217,
2010-09,8.712,
2010-10,8.339,
2010-11,8.723,
2010-12,8.538,
2011-01,8.432,
2011-02,8.522,
2011-03,8.541,
2011-04,8.659,
2011-05,9.119,
2011-06,9.149,
2011-07,9.674,
2011-08,9.619,
2011-09,9.121,
2011-10,9.105,
2011-11,9.883,
2011-12,10.277,
2012-01,10.036,
2012-02,9.865,
2012-03,10.402,
2012-04,11.741,
2012-05,10.964,
2012-06,10.951,
2012-07,11.366,
2012-08,10.936,
2012-09,10.958,
2012-10,10.720,
2012-11,10.414,
2012-12,10.020,
2013-01,9.514,
2013-02,9.922,
2013-03,10.225,
2013-04,10.671,
2013-05,10.454,
2013-06,10.791,
2013-07,8.582,
2013-08,9.984,
2013-09,10.088,
2013-10,10.034,
2013-11,11.009,
2013-12,9.528,
2014-01,9.786,
2014-02,10.076,
2014-03,11.286,
2014-04,13.031,
2014-05,11.891,
2014-06,12.547,
2014-07,12.743,
2014-08,12.793,
2014-09,12.240,
2014-10,12.289,
2014-11,12.501,
2014-12,12.765,
