"",BBFI1.Q.N.DE.W1.S13.S1.LE.L.FA.O.F4.T._T.N.N,BBFI1.Q.N.DE.W1.S13.S1.LE.L.FA.O.F4.T._T.N.N_FLAGS
"",IIP - Other Investment - Loans - Liabilities - Positions - General government - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:06:44,
1999-10,11184,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,9482,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,9364,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,10995,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,14485,
2004-01,14607,
2004-04,15630,
2004-07,17649,
2004-10,18444,
2005-01,24478,
2005-04,26511,
2005-07,19769,
2005-10,21973,
2006-01,21219,
2006-04,19050,
2006-07,22748,
2006-10,20351,
2007-01,20541,
2007-04,21504,
2007-07,22472,
2007-10,19261,
2008-01,22691,
2008-04,28075,
2008-07,28941,
2008-10,24836,
2009-01,34228,
2009-04,31048,
2009-07,31543,
2009-10,23000,
2010-01,19664,
2010-04,21150,
2010-07,23833,
2010-10,117984,
2011-01,105730,
2011-04,105561,
2011-07,110890,
2011-10,136737,
2012-01,114330,
2012-04,119746,
2012-07,99217,
2012-10,106163,
2013-01,101016,
2013-04,109266,
2013-07,98628,
2013-10,98802,
2014-01,91124,
2014-04,97310,
2014-07,94576,
