"",BBFB1.Q.N.DE.JP.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:32,
1991-01,-126.839,
1991-04,179.816,
1991-07,64.040,
1991-10,-93.978,
1992-01,-12.620,
1992-04,31.203,
1992-07,2.759,
1992-10,38.722,
1993-01,582.574,
1993-04,160.871,
1993-07,80.124,
1993-10,49.075,
1994-01,-121.317,
1994-04,80.180,
1994-07,34.465,
1994-10,112.808,
1995-01,-13.227,
1995-04,164.774,
1995-07,-39.182,
1995-10,-62.602,
1996-01,99.771,
1996-04,9.410,
1996-07,10.462,
1996-10,135.497,
1997-01,25.006,
1997-04,59.391,
1997-07,114.316,
1997-10,98.108,
1998-01,-48.205,
1998-04,62.009,
1998-07,-45.844,
1998-10,-38.509,
1999-01,414.534,
1999-04,100.857,
1999-07,69.343,
1999-10,247.368,
2000-01,141.420,
2000-04,-148.529,
2000-07,57.557,
2000-10,-53.155,
2001-01,-58.500,
2001-04,163.618,
2001-07,68.835,
2001-10,134.499,
2002-01,66.943,
2002-04,135.112,
2002-07,100.299,
2002-10,23.398,
2003-01,-84.393,
2003-04,462.796,
2003-07,6.014,
2003-10,-177.761,
2004-01,24.407,
2004-04,-959.871,
2004-07,-841.938,
2004-10,-357.989,
2005-01,108.028,
2005-04,-66.907,
2005-07,-26.071,
2005-10,432.850,
2006-01,1107.424,
2006-04,1145.971,
2006-07,-195.969,
2006-10,73.504,
2007-01,132.337,
2007-04,659.471,
2007-07,209.016,
2007-10,2788.097,
2008-01,163.117,
2008-04,-211.242,
2008-07,271.625,
2008-10,-647.336,
2009-01,-304.529,
2009-04,538.470,
2009-07,251.127,
2009-10,-339.898,
2010-01,195.775,
2010-04,-726.665,
2010-07,-737.893,
2010-10,-682.726,
2011-01,-850.394,
2011-04,447.474,
2011-07,-148.469,
2011-10,-442.177,
2012-01,-412.735,
2012-04,25.080,
2012-07,-657.541,
2012-10,178.054,
2013-01,-156.901,
2013-04,-236.684,
2013-07,-192.055,
2013-10,-394.024,
2014-01,-41.508,Provisional value
2014-04,-179.847,Provisional value
2014-07,85.197,Provisional value
2014-10,-323.299,Provisional value
