"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.GB.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.GB.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / United Kingdom / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:05,
2009-09,15686,
2009-10,16715,
2009-11,15997,
2009-12,16141,
2010-01,16616,
2010-02,17045,
2010-03,18647,
2010-04,18974,
2010-05,18898,
2010-06,19174,
2010-07,20012,
2010-08,20943,
2010-09,21809,
2010-10,22906,
2010-11,22816,
2010-12,22708,
2011-01,23171,
2011-02,23401,
2011-03,24044,
2011-04,24209,
2011-05,24733,
2011-06,24595,
2011-07,24666,
2011-08,24560,
2011-09,24492,
2011-10,20465,
2011-11,23499,
2011-12,23911,
2012-01,25086,
2012-02,25876,
2012-03,26099,
2012-04,26245,
2012-05,26538,
2012-06,26588,
2012-07,26521,
2012-08,26487,
2012-09,25836,
2012-10,25342,
2012-11,24883,
2012-12,24950,
2013-01,23116,
2013-02,22886,
2013-03,22679,
2013-04,22681,
2013-05,22371,
2013-06,21597,
2013-07,21768,
2013-08,21666,
2013-09,21596,
2013-10,21344,
2013-11,22052,
2013-12,21331,
2014-01,21091,
2014-02,21371,
2014-03,21346,
2014-04,21483,
2014-05,21827,
2014-06,22853,
2014-07,22716,
2014-08,23313,
2014-09,23923,
2014-10,24197,
2014-11,24566,
