"",BBK01.OEBL09U,BBK01.OEBL09U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:09,
2002-01,0.308,
2002-04,0.296,
2002-07,0.314,
2002-10,0.303,
2003-01,0.273,
2003-04,0.247,
2003-07,0.227,
2003-10,0.218,
2004-01,0.212,
2004-04,0.198,
2004-07,0.185,
2004-10,0.179,
2005-01,0.189,
2005-04,0.176,
2005-07,0.138,
2005-10,0.137,
2006-01,0.134,
2006-04,0.148,
2006-07,0.158,
2006-10,0.178,
2007-01,0.267,
2007-04,0.299,
2007-07,0.335,
2007-10,0.403,
2008-01,0.451,
2008-04,0.480,
2008-07,0.507,
2008-10,0.664,
2009-01,0.635,
2009-04,0.601,
2009-07,0.592,
2009-10,0.511,
2010-01,0.429,
2010-04,0.412,
2010-07,0.387,
2010-10,0.478,
2011-01,0.545,
2011-04,0.566,
2011-07,0.576,
2011-10,0.565,
2012-01,0.542,
2012-04,0.549,
2012-07,0.524,
2012-10,0.456,
2013-01,0.398,
2013-04,0.356,
2013-07,0.333,
2013-10,0.311,
2014-01,0.295,
2014-04,0.276,
2014-07,0.336,
