"",BBEX3.M.CRC.USD.CA.AA.A01,BBEX3.M.CRC.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Costa Rica / USD 1 = CRC ... (buying),
unit,CRC (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:50,
1991-01,105.50,comment
1991-02,109.70,
1991-03,114.40,
1991-04,117.40,
1991-05,120.15,
1991-06,122.30,
1991-07,124.80,
1991-08,127.30,
1991-09,129.00,
1991-10,130.95,
1991-11,132.50,
1991-12,134.10,
1992-01,136.00,
1992-02,136.00,
1992-03,132.34,
1992-04,130.00,
1992-05,127.47,
1992-06,133.65,comment
1992-07,133.32,
1992-08,134.75,
1992-09,135.25,
1992-10,135.76,
1992-11,136.20,
1992-12,137.04,
1993-01,137.77,
1993-02,137.55,
1993-03,137.60,
1993-04,137.54,
1993-05,137.55,
1993-06,139.83,
1993-07,141.37,
1993-08,143.21,
1993-09,145.07,
1993-10,146.89,
1993-11,148.92,
1993-12,150.71,
1994-01,151.59,
1994-02,152.32,
1994-03,153.36,
1994-04,153.79,
1994-05,154.55,
1994-06,155.60,
1994-07,156.74,
1994-08,158.11,
1994-09,159.43,
1994-10,161.17,
1994-11,162.95,
1994-12,164.51,
1995-01,166.54,
1995-02,168.83,
1995-03,171.77,
1995-04,173.84,
1995-05,176.55,
1995-06,179.00,
1995-07,181.13,
1995-08,183.94,
1995-09,186.49,
1995-10,189.15,
1995-11,192.07,
1995-12,194.43,
1996-01,196.89,
1996-02,199.07,
1996-03,201.03,
1996-04,202.73,comment
1996-05,205.12,
1996-06,207.11,
1996-07,209.30,
1996-08,211.37,
1996-09,213.52,
1996-10,215.77,
1996-11,217.89,
1996-12,219.73,
1997-01,222.41,
1997-02,224.01,
1997-03,225.92,
1997-04,228.14,
1997-05,230.33,
1997-06,232.62,
1997-07,234.63,
1997-08,236.42,
1997-09,238.33,
1997-10,240.36,
1997-11,242.13,
1997-12,244.04,
1998-01,245.80,
1998-02,247.72,
1998-03,249.86,
1998-04,251.90,
1998-05,253.95,
1998-06,256.38,
1998-07,258.92,
1998-08,261.21,
1998-09,263.59,
1998-10,266.17,
1998-11,268.69,
1998-12,271.21,
1999-01,273.44,
1999-02,275.85,
1999-03,278.53,
1999-04,281.04,
1999-05,283.51,
1999-06,286.11,
1999-07,288.36,
1999-08,290.27,
1999-09,292.16,
1999-10,293.98,
1999-11,295.96,
1999-12,297.83,comment
2000-01,299.05,
2000-02,301.05,comment
2000-03,303.09,
2000-04,304.38,
2000-05,306.08,
2000-06,307.87,
2000-07,309.45,
2000-08,311.11,
2000-09,312.73,
2000-10,314.47,
2000-11,316.28,
2000-12,317.74,
2001-01,319.45,
2001-02,321.00,
2001-03,322.82,
2001-04,324.10,
2001-05,325.99,
2001-06,327.74,
2001-07,329.72,
2001-08,331.80,
2001-09,333.89,
2001-10,336.38,
2001-11,339.15,
2001-12,341.40,
2002-01,344.14,
2002-02,347.01,
2002-03,349.81,
2002-04,352.82,
2002-05,356.09,
2002-06,359.00,
2002-07,362.32,
2002-08,365.40,
2002-09,368.57,
2002-10,371.95,
2002-11,375.20,
2002-12,378.14,
2003-01,381.72,
2003-02,384.89,
2003-03,388.22,
2003-04,391.10,
2003-05,394.52,
2003-06,397.91,
2003-07,401.42,
2003-08,404.37,
2003-09,407.77,
2003-10,411.48,
2003-11,414.70,
2003-12,418.04,
2004-01,420.73,
2004-02,423.94,
2004-03,427.15,
2004-04,430.36,
2004-05,433.43,
2004-06,436.61,
2004-07,440.05,
2004-08,443.41,
2004-09,446.98,
2004-10,450.49,
2004-11,454.27,
2004-12,457.58,
2005-01,461.06,
2005-02,464.25,
2005-03,467.46,
2005-04,470.32,
2005-05,473.72,
2005-06,476.91,
2005-07,479.75,
2005-08,482.76,
2005-09,486.40,
2005-10,489.16,
2005-11,492.32,
2005-12,495.65,
2006-01,498.77,
2006-02,501.38,
2006-03,504.84,
2006-04,506.33,
2006-05,508.80,
2006-06,511.93,
2006-07,514.96,
2006-08,517.21,
2006-09,519.67,
2006-10,515.04,
2006-11,514.62,
2006-12,515.70,
2007-01,517.10,
2007-02,517.01,
2007-03,516.93,
2007-04,516.80,
2007-05,516.65,
2007-06,516.51,
2007-07,516.53,
2007-08,516.44,
2007-09,516.34,
2007-10,516.71,
2007-11,496.17,
2007-12,495.23,
2008-01,493.93,
2008-02,493.21,
2008-03,491.64,
2008-04,491.34,
2008-05,516.42,
2008-06,516.34,
2008-07,546.49,
2008-08,547.39,
2008-09,549.59,
2008-10,550.82,
2008-11,540.99,
2008-12,550.08,
2009-01,555.16,
2009-02,560.24,
2009-03,558.42,
2009-04,568.29,
2009-05,571.93,
2009-06,570.61,
2009-07,581.55,
2009-08,584.27,
2009-09,582.49,
2009-10,576.87,
2009-11,549.24,
2009-12,558.67,
2010-01,555.00,
2010-02,548.54,
2010-03,518.51,
2010-04,505.90,
2010-05,535.14,
2010-06,529.91,
2010-07,511.64,
2010-08,504.12,
2010-09,502.55,
2010-10,508.52,
2010-11,503.18,
2010-12,507.85,
2011-01,500.85,
2011-02,497.28,
2011-03,495.66,
2011-04,495.60,
2011-05,499.98,
2011-06,498.61,
2011-07,499.72,
2011-08,505.91,
2011-09,508.36,
2011-10,509.78,
2011-11,501.00,
2011-12,505.35,
2012-01,503.68,
2012-02,505.66,
2012-03,502.58,
2012-04,498.54,
2012-05,496.17,
2012-06,492.57,
2012-07,495.11,
2012-08,492.65,
2012-09,492.42,
2012-10,492.46,
2012-11,492.81,
2012-12,502.07,
2013-01,496.32,
2013-02,495.73,
2013-03,492.72,
2013-04,493.36,
2013-05,493.22,
2013-06,493.03,
2013-07,492.99,
2013-08,497.14,
2013-09,493.51,
2013-10,493.64,
2013-11,492.93,
2013-12,495.01,
2014-01,505.39,
2014-02,538.58,
2014-03,538.34,
2014-04,540.67,
2014-05,546.35,
2014-06,537.58,
2014-07,533.00,
2014-08,534.28,
2014-09,534.02,
2014-10,533.12,
2014-11,529.60,
2014-12,533.31,
2015-01,530.85,
